time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0.0,4.673020107703806,-212.0,-33.309286100416756,-35.13477934992622,-35.13477934992622,-5.195671498075018,-6.7830996646379615,-6.203872008776888,-1.3988864320385597e-14,4.6730201077039535,-212.0000000000065,1.567459064237574,-0.623060943587034,-49.20516303174256
20,0.5234924505375146,5.432636470125411,-212.00487338384724,-33.09505056154855,-35.33494790015594,-35.10193601027535,-9.40534490565438,-12.374156770524356,-11.288758753905531,0.5234924505375594,5.43263647012551,-212.00487338385375,2.3111441398986368,1.8516514292656527,-39.12146138417498
40,1.0463471061618796,6.165785573751274,-212.0194875979214,-32.878487797176646,-35.52197871788291,-35.05686685926014,-12.806095860317942,-16.985554837333847,-15.45353185830458,1.0463471061618281,6.165785573751534,-212.01948759792788,2.846968923807544,3.7668964124676867,-31.238592432053395
60,1.5679269490148018,6.868895589844419,-212.04382483705382,-32.66086789928558,-35.695525757609175,-34.99949783546979,-15.543369865188438,-20.7913945113952,-18.86124872746292,1.5679269490148304,6.868895589844657,-212.0438248370602,3.2361015603397387,5.282113696981211,-25.04977754100352
80,2.0875965144009814,7.538541037082812,-212.07785545006743,-32.443457897517916,-35.855303640241914,-34.92980603512959,-17.736675125671724,-23.93439517245808,-21.645608742242885,2.0875965144011794,7.538541037083015,-212.0778554500738,3.519886612705067,6.507429040794942,-20.164188397523873
100,2.6047226650039548,8.171459470160034,-212.12153797590233,-32.22751009506096,-36.00108430060239,-34.84781664340655,-19.48424855797836,-26.531553637781034,-23.916246788962134,2.604722665004136,8.171459470160404,-212.1215379759086,3.7269523069408965,7.520153852448077,-16.284712103737206
120,3.11867536226639,8.76456737409087,-212.17481919412955,-32.01425034259953,-36.13269311502029,-34.75359946831328,-20.866879787423954,-28.67878359273117,-25.763073333988284,3.118675362266664,8.764567374091154,-212.17481919413578,3.877626047597539,8.375525534639792,-13.186306733706118
140,3.628828433995016,9.314975186786365,-212.23763418979203,-31.80486643708756,-36.25000463446789,-34.64726518356325,-21.95104472090352,-30.454719146425283,-27.259832611917105,3.6288284339951717,9.314975186786526,-212.23763418979814,3.9866989783313036,9.113669753924484,-10.69817146935722
160,4.134560337254987,9.820001376709868,-212.30990643249345,-31.600496828128644,-36.35293805195268,-34.528961388969705,-22.791473025668093,-31.923832922387763,-28.46701963351499,4.134560337255206,9.820001376710174,-212.3099064324995,4.065180401672776,9.764152939682539,-8.690017060722454
180,4.635254915624211,10.277185507029127,-212.39154786963877,-31.40221980678631,-36.44145253275085,-34.39886859649814,-23.43325149823814,-33.13899204356078,-29.434271411950284,4.6352549156244285,10.277185507029506,-212.39154786964474,4.121430748585655,10.34900670407786,-7.061807931797318
200,5.130302149885031,10.684300222617217,-212.48245903371273,-31.21104334017517,-36.515542532738,-34.257196247001055,-23.91354697962282,-34.14355318887898,-30.20232705300604,5.130302149885203,10.684300222617546,-212.48245903371858,4.161908262152593,10.884777180857542,-5.736193625656114
220,5.61909890123868,11.03936210150282,-212.5825291634657,-31.027895700806447,-36.57523322384895,-34.1041788571861,-24.263017441740303,-34.97307970815841,-30.804634336659355,5.6190989012388775,11.039362101503086,-212.58252916347143,4.191672293127286,11.383943749577574,-4.65294199955639
240,6.101049646137002,11.340641317902696,-212.69163633885918,-30.853617022977165,-36.62057613692911,-33.94007238873309,-24.506967541286407,-35.65674886429179,-31.268666461026346,6.101049646137133,11.34064131790294,-212.6916363388648,4.214730744027628,11.855922615107247,-3.7648355724213616
260,6.5755672018361615,11.58667006975903,-212.80964762960667,-30.688951900110713,-36.65164512130939,-33.765150921955396,-24.666294824498603,-36.21850503721273,-31.617001173722574,6.575567201836383,11.586670069759375,-212.80964762961216,4.234285843788563,12.307791502497967,-3.0346300831663484
280,7.042073441788362,11.776249729723501,-212.9364192571286,-30.534543117437913,-36.66853270775369,-33.579703705297966,-24.758264470252616,-36.67800468949396,-31.868205128012228,7.042073441788624,11.77624972972374,-212.93641925713393,4.252912201465236,12.744822966868044,-2.4327839355967456
