time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0,4.67302010770381,-212,-33.3092861004168,-35.1347793499262,-35.1347793499262,-5.19567149807502,-6.78309966463796,-6.20387200877689,1.35732198660119e-08,4.67302084226926,-212.000000300508,-1.35732198660119e-08,-7.34565458238023e-07,3.00508077089034e-07
20,0.523492450537515,5.43263647012541,-212.004873383847,-33.0950505615485,-35.3349479001559,-35.1019360102754,-9.40534490565438,-12.3741567705244,-11.2887587539055,0.143484351201042,4.88147042325022,-212.001680779256,0.380008099336472,0.55116604687519,-0.0031926045911348
40,1.04634710616188,6.16578557375127,-212.019487597921,-32.8784877971766,-35.5219787178829,-35.0568668592601,-12.8060958603179,-16.9855548373338,-15.4535318583046,0.556038855492075,5.47265343199081,-212.00892473952,0.490308250669805,0.693132141760461,-0.0105628584012152
60,1.5679269490148,6.86889558984442,-212.043824837054,-32.6608678992856,-35.6955257576092,-34.9994978354698,-15.5433698651884,-20.7913945113952,-18.8612487274629,1.05124005388479,6.16441969419789,-212.02371348443,0.516686895130013,0.704475895646532,-0.0201113526235019
80,2.08759651440098,7.53854103708281,-212.077855450067,-32.4434578975179,-35.8553036402419,-34.9298060351296,-17.7366751256717,-23.9343951724581,-21.6456087422429,1.56784277263617,6.85817415940835,-212.048444567566,0.519753741764813,0.680366877674467,-0.0294108825016224
100,2.60472266500395,8.17145947016003,-212.121537975902,-32.227510095061,-36.0010843006024,-34.8478166434066,-19.4842485579784,-26.531553637781,-23.9162467889621,2.08640616525789,7.52445956119479,-212.082643988014,0.518316499746065,0.646999908965249,-0.0388939878882582
120,3.11867536226639,8.76456737409087,-212.17481919413,-32.0142503425995,-36.1326931150203,-34.7535994683133,-20.866879787424,-28.6787835927312,-25.7630733339883,2.60327389845796,8.15785608558305,-212.125761463577,0.515401463808434,0.606711288507821,-0.0490577305529882
140,3.62882843399502,9.31497518678636,-212.237634189792,-31.8048664370876,-36.2500046344679,-34.6472651835632,-21.9510447209035,-30.4547191464253,-27.2598326119171,3.11690005849107,8.74877134663073,-212.179187195933,0.511928375503941,0.566203840155639,-0.0584469938585528
160,4.13456033725499,9.82000137670987,-212.309906432493,-31.6004968281286,-36.3529380519527,-34.5289613889697,-22.7914730256681,-31.9238329223878,-28.467019633515,3.62672809755401,9.29691169542632,-212.242148143507,0.50783223970098,0.523089681283547,-0.0677582889865675
180,4.63525491562421,10.2771855070291,-212.391547869639,-31.4022198067863,-36.4414525327509,-34.3988685964981,-23.4332514982381,-33.1389920435608,-29.4342714119503,4.13245840110683,9.80312987152985,-212.313879912077,0.502796514517376,0.474055635499276,-0.0776679575613457
