time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0.0,4.673020107703806,-332.0,25.85770751690723,24.67823224145418,24.67823224145418,5.454387353043303,3.983242421810512,4.562470077671586,-2.8413442230020128e-14,4.673020107703931,-331.99999999999994,1.7006632708449767,-0.6643687525042132,47.5512107201759
20,0.5234924505375146,5.432636470125411,-332.0048733838472,25.9929498367768,24.54543383569564,24.69884293489319,9.963543423961209,7.2327124528166795,8.303781967112556,0.523492450537454,5.43263647012534,-332.0048733838472,2.711246739303685,2.243268556615302,38.915821397691104
40,1.0463471061618796,6.165785573751274,-332.0194875979214,26.128801465699812,24.42004911603377,24.72682014668133,13.697704637284604,9.881642935910811,11.373415193999717,1.0463471061619452,6.165785573751126,-332.0194875979214,3.56025269665661,4.838721471295674,31.764352260698786
60,1.5679269490148018,6.868895589844419,-332.0438248370538,26.264532542957152,24.30235854488626,24.76223330641808,16.79631862244934,12.039326837114602,13.893959460966423,1.5679269490147802,6.868895589844309,-332.0438248370538,4.260291298944785,7.140520997146018,25.880777149784592
80,2.0875965144009814,7.538541037082812,-332.07785545006743,26.399424144414564,24.19261373971998,24.805122195614665,19.373588201739103,13.795421461713103,15.965949053803145,2.0875965144011226,7.538541037082684,-332.07785545006743,4.827901648483044,9.174602890285303,21.061457853057618
100,2.6047226650039548,8.171459470160034,-332.12153797590236,26.53277356651104,24.09103833187761,24.855498246566793,21.523018429581477,15.223478076085739,17.671827283990815,2.604722665003902,8.171459470160137,-332.1215379759024,5.280967232288294,10.970321898150669,17.12531881555401
120,3.11867536226639,8.76456737409087,-332.17481919412955,26.663899572912552,23.997829054600192,24.91334607470303,23.32114612716729,16.383836403171276,19.07919760357607,3.118675362266273,8.764567374090783,-332.1748191941295,5.63708104398026,12.557590041912961,13.916734217331452
140,3.628828433995016,9.314975186786365,-332.237634189792,26.79214754256649,23.913157016216157,24.97862519913251,24.83059904539903,17.32599834733785,20.2434898257709,3.6288284339949177,9.314975186786295,-332.237634189792,5.912619617402194,13.96504480784175,11.304690108014768
160,4.134560337254987,9.820001376709868,-332.30990643249345,26.91689445826171,23.837169112031063,25.051271903766917,26.10260529425026,18.090574712015083,21.210146758081766,4.134560337255014,9.820001376709808,-332.30990643249345,6.12229778601483,15.21900554978264,9.18029206097583
180,4.635254915624211,10.277185507029127,-332.39154786963877,27.03755367613718,23.769989527054648,25.13120119004035,27.17905195102114,18.710881787414543,22.01641759073599,4.635254915624169,10.277185507029266,-332.39154786963877,6.279026216775056,16.34297793178891,7.45373947410468
200,5.130302149885031,10.684300222617217,-332.48245903371276,27.153579418835225,23.711721281361992,25.21830877191236,28.09417394539166,19.214250839058785,22.692828832601116,5.130302149885122,10.684300222617205,-332.48245903371276,6.3939462891143695,17.35751411708896,6.051327997919543
220,5.61909890123868,11.03936210150282,-332.5825291634657,27.264470938122695,23.6624477706108,25.312473064531517,28.875939711778816,19.623102173753317,23.26439083544768,5.619098901238668,11.03936210150292,-332.58252916346567,6.476559541591327,18.280289302031882,4.912730136132495
