time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0,4.67302010770381,-332,25.8577075169072,24.6782322414542,24.6782322414542,5.4543873530433,3.98324242181051,4.56247007767159,1.48540132798258e-08,4.67302088366701,-332.000000375042,-1.48540132798258e-08,-7.75963208354824e-07,3.75042247924284e-07
20,0.523492450537515,5.43263647012541,-332.004873383847,25.9929498367768,24.5454338356956,24.6988429348932,9.96354342396121,7.23271245281668,8.30378196711256,0.150355774933982,4.89106918145605,-332.001679149533,0.373136675603532,0.541567288669362,-0.00319423431375299
40,1.04634710616188,6.16578557375127,-332.019487597921,26.1288014656998,24.4200491160338,24.7268201466813,13.6977046372846,9.88164293591081,11.3734151939997,0.556643721530161,5.47238318239599,-332.008886723604,0.489703384631719,0.693402391355283,-0.0106008743173334
60,1.5679269490148,6.86889558984442,-332.043824837054,26.2645325429572,24.3023585448863,24.7622333064181,16.7963186224493,12.0393268371146,13.8939594609664,1.05295375781201,6.16371181660275,-332.024269004142,0.514973191202793,0.705183773241664,-0.0195558329115784
80,2.08759651440098,7.53854103708281,-332.077855450067,26.3994241444146,24.19261373972,24.8051221956147,19.3735882017391,13.7954214617131,15.9659490538031,1.56853226645586,6.85719773824076,-332.048551619051,0.519064247945122,0.681343298842055,-0.029303831016307
100,2.60472266500395,8.17145947016003,-332.121537975902,26.532773566511,24.0910383318776,24.8554982465668,21.5230184295815,15.2234780760857,17.6718272839908,2.08699921324198,7.5250041815615,-332.082292923983,0.517723451761971,0.646455288598532,-0.039245051919238
120,3.11867536226639,8.76456737409087,-332.17481919413,26.6638995729126,23.9978290546002,24.913346074703,23.3211461271673,16.3838364031713,19.0791976035761,2.60385171310382,8.15850709017108,-332.125410629716,0.514823649162566,0.606060283919787,-0.0494085644135112
140,3.62882843399502,9.31497518678636,-332.237634189792,26.7921475425665,23.9131570162162,24.9786251991325,24.830599045399,17.3259983473379,20.2434898257709,3.11740530052176,8.74898595813012,-332.178977296575,0.511423133473251,0.565989228656248,-0.0586568932168916
160,4.13456033725499,9.82000137670987,-332.309906432493,26.9168944582617,23.8371691120311,25.0512719037669,26.1026052942503,18.0905747120151,21.2101467580818,3.62714724749167,9.29667679803604,-332.242095381649,0.507413089763313,0.523324578673829,-0.0678110508442842
180,4.63525491562421,10.2771855070291,-332.391547869639,27.0375536761372,23.7699895270546,25.1312011900404,27.1790519510211,18.7108817874145,22.016417590736,4.13268940648367,9.80142880722911,-332.314116983549,0.502565509140537,0.475756699800019,-0.0774308860899851
200,5.13030214988503,10.6843002226172,-332.482459033713,27.1535794188352,23.711721281362,25.2183087719124,28.0941739453917,19.2142508390588,22.6928288326011,4.63342744917209,10.2604589133033,-332.395158487829,0.496874700712937,0.423841309313886,-0.0873005458836928
220,5.61909890123868,11.0393621015028,-332.582529163466,27.2644709381227,23.6624477706108,25.3124730645315,28.8759397117788,19.6231021737533,23.2643908354477,5.1280432438919,10.6652122096502,-332.486278421954,0.491055657346785,0.374149891852648,-0.0962507415118807
240,6.101049646137,11.3406413179027,-332.691636338859,27.3697762967351,23.6222342560067,25.4135571196425,29.5471881221475,19.9558261496043,23.751587491609,5.61638507590925,11.0178870609774,-332.586568825608,0.484664570227749,0.322754256925334,-0.105067513251129
