time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0.0,4.673020107703806,-324.0,26.70450116236486,25.299604404419842,25.299604404419842,5.606810209225676,4.095089411144332,4.674317067005406,0.0,4.673020107703907,-324.0,1.3957416997774255,-1.2681108730780393,50.06664262652936
20,0.5234924505375146,5.432636470125411,-324.0048733838472,26.863925159578727,25.139759152478952,25.32250924534547,10.245305724135102,7.431405541091406,8.5077564342477,0.5234924505375957,5.43263647012547,-324.0048733838472,2.1607989875588283,1.1429480390085685,41.06411792658565
40,1.0463471061618796,6.165785573751274,-324.0194875979214,27.022926518183393,24.987595066425182,25.353042597621307,14.08969223287424,10.146729539366541,11.65339429821973,1.0463471061619303,6.165785573751448,-324.0194875979214,2.813086049052783,3.323984026094845,33.55244420819599
60,1.5679269490148018,6.868895589844419,-324.0438248370538,27.18066318935191,24.8434730641978,25.391313595147608,17.2826519671839,12.354098465424377,14.236776778398147,1.5679269490147871,6.868895589844378,-324.04382483705393,3.356569156882475,5.276271571299041,27.334819972819275
80,2.0875965144009814,7.538541037082812,-324.07785545006743,27.33630956225183,24.70772309626201,25.43739938851103,19.94102091963215,14.146253881104684,16.3608691488185,2.0875965144009108,7.538541037082657,-324.07785545006743,3.8006324497154838,7.013292149497968,22.21578332340573
100,2.6047226650039548,8.171459470160034,-324.12153797590236,27.489062221656425,24.580644642957985,25.49134618779138,22.160445216179944,15.599289795981305,18.11011439132383,2.604722665003843,8.171459470159977,-324.1215379759023,4.157198570790574,8.555042250058936,18.016190925318995
120,3.11867536226639,8.76456737409087,-324.17481919412955,27.63814562874551,24.462507455160264,25.553170553869855,24.01920038222796,16.77564412558645,19.55376143783917,3.118675362266353,8.764567374090682,-324.17481919412955,4.438882572791599,9.924147040283664,14.579034747301193
140,3.628828433995016,9.314975186786365,-324.237634189792,27.78281766324767,24.353552496304175,25.622860894193042,25.581324156271396,17.726551866134137,20.74859459497754,3.6288284339950034,9.314975186786446,-324.237634189792,4.657903709218202,11.143402247616939,11.77032770231682
160,4.134560337254987,9.820001376709868,-324.30990643249345,27.922374965931716,24.253993041243454,25.700379116521344,26.899186376546208,18.494056904686268,21.741171967127006,4.134560337254796,9.820001376709882,-324.3099064324934,4.825509449138495,12.23434153979149,9.477592632857295
180,4.635254915624211,10.277185507029127,-324.39154786963877,28.056158022219932,24.164015885840733,25.785662392763857,28.015597220798714,19.11266192998641,22.569661278643316,4.635254915624297,10.27718550702916,-324.39154786963877,4.951724318707215,13.2164931791852,7.607373891076293
