time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
16,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,0,0,-263.277315153,-1.026,0.027,5.67496272197e-09
125,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.32068670886e-15,1.33760554502e-15,-263.277315152,-1.02444900468,-0.065284221641,4.98295094076e-09
219,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.45962754035e-15,2.49113693246e-15,-263.277315151,-1.07788422637,-0.0394628792915,4.386947694e-09
328,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.78031424921e-15,3.82874247748e-15,-263.277315151,-1.11709826339,-0.00122919319328,3.69499275621e-09
422,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.9192550807e-15,4.98227386492e-15,-263.27731515,-1.0390019711,-0.0773730781743,3.09796632791e-09
532,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-6.25205818138e-15,6.33215102044e-15,-263.277315149,-1.10022800934,-0.0176776908969,2.39998598772e-09
625,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-7.37888262104e-15,7.47341079738e-15,-263.277315149,-1.144,0.025,-1.90027549252e-10
750,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-8.89343159909e-15,9.00736211047e-15,-263.277315148,-1.14388184568,0.0110577905261,1.69961822394e-11
828,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-9.83851016139e-15,9.96454772984e-15,-263.277315148,-1.14332366998,-0.0548069427622,-4.77996309201e-10
922,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.1385815262e-14,1.11594284701e-14,-263.277315147,-1.143,-0.093,-2.40447661781e-11
1032,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.84191348091e-14,1.3086517403e-14,-263.277315147,-1.143,-0.093,-2.40447661781e-11
1125,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.43654867898e-14,1.47157835008e-14,-263.277315147,-1.143,-0.093,-2.40447661781e-11
1219,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.03757780391e-14,1.63625685889e-14,-263.277315147,-1.143,-0.093,-2.40447661781e-11
1328,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.73451583176e-14,1.82721385316e-14,-263.277315147,-1.143,-0.093,-2.40447661781e-11
1422,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.3355449567e-14,1.99189236197e-14,-263.277315147,-1.143,-0.093,-2.40447661781e-11
1532,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-5.03887691141e-14,2.18460125526e-14,-263.277315147,-1.143,-0.093,-2.40447661781e-11
1625,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-5.63351210948e-14,2.34752786504e-14,-263.277315147,-1.143,-0.093,-2.40447661781e-11
1719,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-6.23454123442e-14,2.51220637386e-14,-263.277315147,-1.143,-0.093,-2.40447661781e-11
