time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,0,0,-263.277315153,-2.16,-4.15,5.67496272197e-09
109,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-7.12231150753e-16,2.66644748985e-15,-263.277315152,-2.15923744252,-4.24074434008,4.78496531287e-09
203,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.32644884039e-15,4.96595266458e-15,-263.277315151,-2.15940961062,-4.22025633624,4.01797706218e-09
313,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.04521422189e-15,7.65686297544e-15,-263.27731515,-2.16,-4.15,3.11996473101e-09
406,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.65289768079e-15,9.93190532916e-15,-263.277315149,-2.16,-4.15,2.35996822084e-09
531,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.46967652339e-15,1.29897579551e-14,-263.277315148,-2.15934106981,-4.2284126932,3.39980488206e-10
609,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.97934652118e-15,1.48978579937e-14,-263.277315148,-2.15919992011,-4.24520950637,-2.97006863548e-10
703,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.45554623789e-15,1.73096063765e-14,-263.277315147,-2.15987199255,-4.16523288605,-2.40447661781e-11
813,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.06325075405e-15,2.25305889986e-14,-263.277315147,-2.15928692235,-4.23485623979,-2.40447661781e-11
906,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.06736631716e-17,2.69446924881e-14,-263.277315147,-2.15939592007,-4.22188551195,-2.40447661781e-11
1016,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,2.35162182066e-15,3.21656751102e-14,-263.277315147,-2.16,-4.15,-2.40447661781e-11
1125,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,4.72216916374e-15,3.73391942539e-14,-263.277315147,-2.16,-4.15,-2.40447661781e-11
1203,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,6.41852414318e-15,4.10413455678e-14,-263.277315147,-2.15952606208,-4.20639861191,-2.40447661781e-11
1313,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,8.81081962702e-15,4.62623281899e-14,-263.277315147,-2.15923523093,-4.24100751953,-2.40447661781e-11
1406,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,9.61086685372e-15,4.97993586952e-14,-263.277315147,-2.15987552803,-4.164812165,-2.40447661781e-11
1516,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.77535047598e-15,4.51352974373e-14,-263.277315147,-2.16,-4.15,-2.40447661781e-11
1609,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.14018796729e-14,4.11920456466e-14,-263.277315147,-2.16,-4.15,-2.40447661781e-11
1703,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.11319199365e-14,3.72063932989e-14,-263.277315147,-2.16,-4.15,-2.40447661781e-11
1828,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.40708032656e-14,3.19063236877e-14,-263.277315147,-2.15910324978,-4.25671327661,-2.40447661781e-11
1906,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.21446664631e-14,2.85990802503e-14,-263.277315147,-2.159,-4.269,-2.40447661781e-11
2031,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-5.50835497923e-14,2.3299010639e-14,-263.277315147,-2.159,-4.269,-2.40447661781e-11
2109,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-6.1029573451e-14,2.20604600579e-14,-263.277315147,-2.159,-4.269,-2.40447661781e-11
2203,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-5.70972560206e-14,3.13573984542e-14,-263.277315147,-2.15952260599,-4.20680988731,-2.40447661781e-11
2313,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-5.24956079637e-14,4.22367944498e-14,-263.277315147,-2.16,-4.15,-2.40447661781e-11
2406,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.86051236974e-14,5.14348292461e-14,-263.277315147,-2.16,-4.15,-2.40447661781e-11
2516,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.40034756406e-14,6.23142252418e-14,-263.277315147,-2.24249766433,-4.15138651537,-2.40447661781e-11
2609,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.01129913743e-14,7.15122600381e-14,-263.277315147,-2.19849712262,-4.15098097624,-2.40447661781e-11
2703,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.61806739439e-14,8.08091984344e-14,-263.277315147,-2.04683056496,-4.14906114639,-2.40447661781e-11
2813,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.07023713149e-14,8.92195410968e-14,-263.277315147,-2.042,-4.149,-2.40447661781e-11
2906,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.28387449818e-14,8.72274218974e-14,-263.277315147,-2.10253033917,-4.14951296898,-2.40447661781e-11
3016,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.35376815771e-14,8.48711518767e-14,-263.277315147,-2.16,-4.15,-2.40447661781e-11
3109,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-5.67405524405e-15,8.28790326774e-14,-263.277315147,-2.16,-4.15,-2.40447661781e-11
3203,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,2.27412621089e-15,8.08654928415e-14,-263.277315147,-2.22795470421,-4.15114209587,-2.40447661781e-11
3313,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,1.15751896156e-14,7.85092228208e-14,-263.277315147,-2.1581615161,-4.15030283028,-2.40447661781e-11
3406,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,1.94388159487e-14,7.65171036215e-14,-263.277315147,-1.92992802351,-4.1470973037,-2.40447661781e-11
3516,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,2.52293873657e-14,7.33464619191e-14,-263.277315147,-1.83314615136,-4.32225213454,-2.40447661781e-11
3609,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,2.02396375234e-14,6.83725881375e-14,-263.277315147,-1.80239208843,-4.3363414767,-2.40447661781e-11
3703,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,1.5196234457e-14,6.33452318421e-14,-263.277315147,-1.803,-4.264,-2.40447661781e-11
3813,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,9.2943798049e-15,5.74621553263e-14,-263.277315147,-1.803,-4.264,-2.40447661781e-11
3906,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,4.30462996262e-15,5.24882815447e-14,-263.277315147,-1.80244270579,-4.33031801041,-2.40447661781e-11
4016,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.59722468953e-15,4.66052050288e-14,-263.277315147,-1.802,-4.383,-2.40447661781e-11
4125,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-7.44542611758e-15,4.07756110267e-14,-263.277315147,-1.79140677655,-4.36117430687,-2.40447661781e-11
4203,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.09875435374e-14,3.70818262749e-14,-263.277315147,-1.72818259415,-4.23091068967,-2.40447661781e-11
4313,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.19375952004e-14,3.4879677318e-14,-263.277315147,-1.686,-4.144,-2.40447661781e-11
4406,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.27408206972e-14,3.30178604726e-14,-263.277315147,-1.686,-4.144,-2.40447661781e-11
4516,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.36908723602e-14,3.08157115157e-14,-263.277315147,-1.686,-4.144,-2.40447661781e-11
4609,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.4494097857e-14,2.89538946703e-14,-263.277315147,-1.686,-4.144,-2.40447661781e-11
4703,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.53059601872e-14,2.70720582889e-14,-263.277315147,-1.686,-4.144,-2.40447661781e-11
4813,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.62560118501e-14,2.4869909332e-14,-263.277315147,-1.686,-4.144,-2.40447661781e-11
4906,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,0.00570016822227,0.00600124040382,-263.27816081,-1.76382662661,-4.22397709516,0.000845663150983
5000,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,31.0489893269,32.9298494901,-264.054908778,-32.8202487889,-37.1612950921,1.11727166382
5109,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3871455077,41.8859162509,-262.937876913,-41.0731455077,-46.0299162509,0.000239799331041
5203,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3888602295,41.8877647315,-262.937585448,-41.0748602295,-46.0317647315,-5.16664590009e-05
5313,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3893110035,41.8882506691,-262.937508821,-41.0753110035,-46.0322506691,-0.00012829311396
5422,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3895571505,41.8885160174,-262.937466978,-41.100576246,-46.0840639813,-0.000170135705957
5516,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3888730947,41.8877786002,-262.937583261,-41.1754758513,-46.2390549695,-5.38533259942e-05
5609,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3898187314,41.8887980037,-262.937422511,-41.2523399358,-46.2728151668,-0.000214603360973
5703,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3890055494,41.8879213874,-262.937560745,-41.3100055494,-46.2729213874,-7.63700219863e-05
5813,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3890959721,41.8880188636,-262.937545374,-41.3061644409,-46.2729527875,-9.17408649457e-05
5906,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3894302368,41.8883792035,-262.937488552,-41.2304065224,-46.2720342671,-0.000148561748972
6016,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3889922009,41.8879069975,-262.937563014,-41.1909922009,-46.2709069975,-7.41000860103e-05
6109,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3896117423,41.8885748678,-262.937457698,-41.2003282523,-46.2630762706,-0.00017941620797
6203,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3890637237,41.8879840996,-262.937550856,-41.279638026,-46.1846241548,-8.62588889845e-05
6313,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3890068556,41.8879227954,-262.937560523,-41.2509092293,-46.1529127512,-7.65919629657e-05
6406,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3895293685,41.8884860682,-262.937471701,-41.1925293685,-46.1524860682,-0.00016541310697
6516,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3890799152,41.8880015542,-262.937548103,-41.1920799152,-46.1520015542,-8.90115910011e-05
6609,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3894638463,41.8884154348,-262.937482839,-41.3261150136,-46.2215062924,-0.000154274620002
6703,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3891068422,41.8880305816,-262.937543527,-41.3991617143,-46.244343271,-9.35884839919e-05
6813,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3889669692,41.8878797976,-262.937567303,-41.3221326449,-46.1653317726,-6.98108129882e-05
6906,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3896105003,41.8885735288,-262.937457909,-41.3975673079,-46.2427343571,-0.000179204679966
7031,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3894195368,41.8883676687,-262.937490371,-41.3600752092,-46.133554787,-0.000146742678965
7109,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.38937261,41.8883170813,-262.937498349,-41.3725643728,-46.0362041178,-0.000138765305962
7203,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3891428473,41.8880693954,-262.937537406,-41.691005706,-46.0406526375,-9.97088929466e-05
7313,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3889324729,41.8878426103,-262.937573167,-41.7193231187,-46.0407063186,-6.39468979671e-05
7406,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3896490614,41.888615098,-262.937451354,-41.6939767967,-46.0410407742,-0.000185759659985
7516,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3892147345,41.8881468905,-262.937525186,-41.7835805809,-46.0420858122,-0.000111929458967
