time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
16,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,0,0,-263.277315153,0.462,-0.299,5.67496272197e-09
125,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,4.55324039151e-15,8.73917744656e-15,-263.277315152,0.462,-0.299,4.63597871203e-09
219,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,8.47988806859e-15,1.6275715795e-14,-263.277315151,0.462,-0.299,3.73995590053e-09
344,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,1.37014940222e-14,2.62977082796e-14,-263.27731515,0.462,-0.299,2.54897258856e-09
422,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,1.69597761372e-14,3.25514315899e-14,-263.277315149,0.462,-0.299,-1.94006588572e-10
531,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,2.15130165287e-14,4.12906090365e-14,-263.277315148,0.462,-0.299,-2.3203483579e-10
625,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,2.41673971473e-14,4.74271131421e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
719,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,1.7102031635e-14,4.28677674073e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
828,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,8.90921417919e-15,3.75808665021e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
922,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,1.84384866687e-15,3.30215207673e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
1031,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-6.34896878889e-15,2.77346198621e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
1125,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.34143343012e-14,2.31752741273e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
1219,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.97718890454e-14,1.96869965315e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
1328,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.65517813939e-14,3.16702771582e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
1422,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.37748078229e-14,4.20044824693e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
1531,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.05547001714e-14,5.3987763096e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
1625,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-7.77772660036e-15,6.43219684071e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
1719,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-5.00075302934e-15,7.46561737181e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
1844,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.58551390414e-15,8.34181571054e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
1922,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.24341943675e-15,8.04456599554e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
2031,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.16280024513e-15,7.62917857329e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
2125,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.95566075878e-15,7.27095455777e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
2219,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-5.74852127243e-15,6.91273054226e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
2328,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-6.66790208082e-15,6.49734312001e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
2422,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-8.04260945294e-15,6.27443282076e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
2531,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.36529153777e-14,6.94996219383e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
2625,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.84911608541e-14,7.53252880914e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
2719,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.33294063305e-14,8.11509542445e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
2828,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.89397122553e-14,8.79062479752e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
2922,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.37779577317e-14,9.37319141282e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
3031,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.64664350241e-14,9.68166608142e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
3125,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.00484554412e-14,8.85016949096e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
3219,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.36304758583e-14,8.01867290051e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
3328,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.61883505973e-14,7.05449068392e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
3438,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-8.67794895774e-15,6.08146275891e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
3531,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.32824575339e-15,5.25881187687e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
3625,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,1.2002772856e-15,4.54248613013e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
3719,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-5.77468766435e-15,4.24481889421e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
3828,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.38626789361e-14,3.89965156744e-14,-263.277315147,0.462,-0.299,-2.40447661781e-11
3922,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.08376438861e-14,3.60198433151e-14,-263.277315147,0.394528887672,-0.367038096465,-2.40447661781e-11
4031,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.89256351578e-14,3.25681700475e-14,-263.277315147,0.256361279051,-0.419365564223,-2.40447661781e-11
4125,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.59006001078e-14,2.95914976882e-14,-263.277315147,0.128711418683,-0.419904171229,-2.40447661781e-11
4219,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.17289050715e-14,2.88561700921e-14,-263.277315147,0.282721272523,-0.419254340622,-2.40447661781e-11
4328,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.20826179709e-14,4.05224782094e-14,-263.277315147,0.283609450947,-0.360108531191,-2.40447661781e-11
4422,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.23876547832e-14,5.05833310812e-14,-263.277315147,0.241830235592,-0.31868040168,-2.40447661781e-11
4531,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.27413676825e-14,6.22496391985e-14,-263.277315147,0.332120364518,-0.408211790026,-2.40447661781e-11
