time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,0,0,-263.277315153,35.777,0.524,5.67496272197e-09
16,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,8.32727379729,-0.194831305075,-263.734105018,27.5242283346,1.11587176283,0.428202333089
17,39.84778792366982,3.4862297099063264,-263.27731514697575,2,-8,9,2,-8,9,9.42813711066,-0.207576913749,-263.78106004,26.4280214045,1.15343240012,1.2305245557
125,39.84778792366982,3.4862297099063264,-263.27731514697575,2,-8,9,2,-8,9,39.3362723637,3.86937719039,-262.551335694,-2.97722445842,-0.243498614165,0.000800210085004
219,39.84778792366982,3.4862297099063264,-263.27731514697575,2,-8,9,2,-8,9,39.3438315317,3.87093899177,-262.550501921,-2.91383153175,0.133061008228,-3.35633520194e-05
344,39.84778792366982,3.4862297099063264,-263.27731514697575,2,-8,9,2,-8,9,39.3447828437,3.87114364459,-262.550395723,-2.91478284367,0.132856355414,-0.000139760975003
438,39.84778792366982,3.4862297099063264,-263.27731514697575,2,-8,9,2,-8,9,39.3435918497,3.87087671045,-262.550530322,-2.91359184968,0.133123289545,-5.16228101333e-06
439,39.39231012048832,6.945927106677213,-263.27731514697575,3,-8,9,3,-8,9,39.3442346196,3.88832485873,-262.55492693,-2.91449785024,0.129979333867,-0.659187018947
563,39.39231012048832,6.945927106677213,-263.27731514697575,3,-8,9,3,-8,9,39.4411616036,6.56063146065,-263.214053605,-3.04877180832,-0.512858745239,-6.03436880056e-05
641,39.39231012048832,6.945927106677213,-263.27731514697575,3,-8,9,3,-8,9,39.4411848246,6.56128574059,-263.214211517,-3.05677917201,-0.0710234803367,9.75682039552e-05
750,39.39231012048832,6.945927106677213,-263.27731514697575,3,-8,9,3,-8,9,39.4411834877,6.56124808439,-263.214202429,-3.0380155226,0.05228371793,8.84799569576e-05
844,39.39231012048832,6.945927106677213,-263.27731514697575,3,-8,9,3,-8,9,39.4288468408,6.58249098625,-263.215404273,-2.94035324136,-0.0514641360801,0.00129032381597
859,38.63703305156273,10.35276180410083,-263.27731514697575,4,-8,8,4,-8,8,38.9996323218,7.32652684526,-263.256910825,-2.49752292969,-0.808665678941,-0.152840597437
984,38.63703305156273,10.35276180410083,-263.27731514697575,4,-8,8,4,-8,8,37.1042637986,10.6123212186,-263.409770687,-0.444122381214,-1.53750303839,1.92640239902e-05
1063,38.63703305156273,10.35276180410083,-263.27731514697575,4,-8,8,4,-8,8,37.1043639792,10.6121475616,-263.409763979,-0.372176136676,-1.00505662347,1.25574509866e-05
1172,38.63703305156273,10.35276180410083,-263.27731514697575,4,-8,8,4,-8,8,37.1036408098,10.6134010708,-263.409812399,-0.301640809753,-0.859401070796,6.097692102e-05
1266,38.63703305156273,10.35276180410083,-263.27731514697575,4,-8,8,4,-8,8,37.1045651862,10.6124555093,-263.409892441,-0.302565186239,-0.858455509261,0.000141018074032
1281,37.58770483143634,13.680805733026748,-263.27731514697575,5,-8,8,5,-8,8,37.1215129005,11.147832089,-263.530172308,-0.319512900469,-1.39383208899,-0.480265788521
1391,37.58770483143634,13.680805733026748,-263.27731514697575,5,-8,8,5,-8,8,37.1891484401,13.3341643903,-264.010315391,-0.993505349535,-1.02810530964,-0.000122707160983
1484,37.58770483143634,13.680805733026748,-263.27731514697575,5,-8,8,5,-8,8,37.1891724774,13.334956968,-264.010486032,-1.25711108243,0.264590079319,4.79353900005e-05
1594,37.58770483143634,13.680805733026748,-263.27731514697575,5,-8,8,5,-8,8,37.1892035607,13.3359819129,-264.010706697,-1.171945866,0.359890370378,0.000268600091999
1688,37.58770483143634,13.680805733026748,-263.27731514697575,5,-8,8,5,-8,8,37.1881530186,13.3665526852,-264.004504599,-1.09999706026,0.63933836899,-0.00593349776602
1703,36.252311481465995,16.904730469627978,-263.27731514697575,6,-9,7,6,-9,7,37.1558638396,14.378146452,-263.813655328,-1.05639432855,-0.322784317421,0.851650490874
1813,36.252311481465995,16.904730469627978,-263.27731514697575,6,-9,7,6,-9,7,37.0174481629,18.6681880002,-262.962265488,-2.58684000578,-3.48934889487,0.00026065130703
1906,36.252311481465995,16.904730469627978,-263.27731514697575,6,-9,7,6,-9,7,37.0173797067,18.6702908729,-262.961830873,-3.79045533287,-2.70875330185,-0.000173965754982
2016,36.252311481465995,16.904730469627978,-263.27731514697575,6,-9,7,6,-9,7,37.0173763754,18.6703932053,-262.961809723,-3.78993355833,-2.53669492323,-0.000195116228952
2125,36.252311481465995,16.904730469627978,-263.27731514697575,6,-9,7,6,-9,7,37.0065454872,18.6755294765,-262.959752465,-3.68757393895,-2.62960874817,-0.00225237167899
2126,34.64101615137755,19.999999999999996,-263.27731514697575,6,-9,6,6,-9,6,37.0001289636,18.6790024342,-262.958446104,-3.68031770225,-2.63388700455,0.502921468902
2234,34.64101615137755,19.999999999999996,-263.27731514697575,6,-9,6,6,-9,6,34.6061108995,19.9789847679,-262.455690971,-1.42906907644,-1.77221396873,0.000166334034986
2328,34.64101615137755,19.999999999999996,-263.27731514697575,6,-9,6,6,-9,6,34.6049760076,19.9796000804,-262.455445991,-1.59728350016,0.194793407571,-7.8644350026e-05
2438,34.64101615137755,19.999999999999996,-263.27731514697575,6,-9,6,6,-9,6,34.6048351861,19.9796764313,-262.455415592,-1.69243001344,0.549066832722,-0.000109044197984
2547,34.64101615137755,19.999999999999996,-263.27731514697575,6,-9,6,6,-9,6,34.6074061197,20.0573736145,-262.470293603,-1.78482555999,0.580708963417,0.014768967846
2548,32.76608177155967,22.943057454041842,-263.27731514697575,7,-9,6,7,-9,6,34.6079210976,20.0765732658,-262.473932301,-1.7861604962,0.562295665699,-0.488072535971
2656,32.76608177155967,22.943057454041842,-263.27731514697575,7,-9,6,7,-9,6,34.6768987308,22.7224208709,-262.9618489,-2.80014924302,-1.07698453368,-0.000155938554997
2750,32.76608177155967,22.943057454041842,-263.27731514697575,7,-9,6,7,-9,6,34.6769241923,22.7234234115,-262.962028701,-4.11367534021,0.306824859107,2.38640769794e-05
2859,32.76608177155967,22.943057454041842,-263.27731514697575,7,-9,6,7,-9,6,34.6769272676,22.7235445093,-262.962050419,-4.42347674627,0.402224913315,4.55810290418e-05
2953,32.76608177155967,22.943057454041842,-263.27731514697575,7,-9,6,7,-9,6,34.6583715038,22.7350977413,-262.966565377,-4.69900012575,0.459485807279,0.00456053955202
2969,30.64177772475912,25.71150438746157,-263.27731514697575,8,-8,5,8,-8,5,33.7065859823,23.3263690709,-263.195107536,-3.7977114213,-0.12029459728,-0.815330560658
3094,30.64177772475912,25.71150438746157,-263.27731514697575,8,-8,5,8,-8,5,30.1422462394,25.5397397296,-264.010559852,-1.33723615879,-1.5714568801,0.000121754113991
3188,30.64177772475912,25.71150438746157,-263.27731514697575,8,-8,5,8,-8,5,30.1424857292,25.5395910931,-264.010507343,-2.25038087322,-0.882690899671,6.92459909715e-05
3281,30.64177772475912,25.71150438746157,-263.27731514697575,8,-8,5,8,-8,5,30.1403760781,25.5409003377,-264.010969904,-2.40433614578,-0.809869305611,0.000531806759966
3375,30.64177772475912,25.71150438746157,-263.27731514697575,8,-8,5,8,-8,5,30.14251731,25.5395493525,-264.010376732,-2.50525515344,-0.789967798577,-6.13653689925e-05
3391,28.284271247461902,28.284271247461902,-263.27731514697575,8,-8,4,8,-8,4,29.6299192626,25.8149962624,-263.884332444,-2.00582359964,-1.06574387084,0.474581022303
