time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
4906,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,0.00725021727623,-0.000246241467599,-263.277852921,-1.88025021728,-2.67375375853,0.000537773524002
5000,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,31.0711871603,-1.14368534097,-263.784921227,3.8388128397,-3.13031465903,0.479018541574
5109,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,39.5073314286,-1.49064134218,-263.306078945,-4.35433142863,-3.01735865782,0.00017625955104
5203,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,39.5101448371,-1.4907601593,-263.305874381,-4.28944978894,-3.01553324285,-2.83035469693e-05
5328,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,39.5104259906,-1.49077203326,-263.305853936,-4.23842599063,-3.01422796674,-4.87495429979e-05
5406,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,39.5105066604,-1.49077544018,-263.30584807,-4.23850666037,-3.01422455982,-5.46155900452e-05
5515,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,39.5102864332,-1.49076613932,-263.305864085,-4.23828643321,-3.01423386068,-3.86000999697e-05
5609,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,39.5111162739,-1.49080118608,-263.305803739,-4.23911627393,-3.01419881392,-9.89455969602e-05
5703,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,39.5101565558,-1.49076065421,-263.305873529,-4.2381565558,-3.01423934579,-2.91556949605e-05
5812,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,39.5116384363,-1.49082323871,-263.305765767,-4.29515138692,-3.01557624744,-0.000136918182989
5906,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,39.5101320086,-1.49075961751,-263.305875314,-4.3501067378,-3.01706327482,-2.73707019574e-05
6015,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,39.5114597258,-1.49081569121,-263.305778763,-4.26964589335,-3.01494530461,-0.000123922488001
6109,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,39.5103323672,-1.49076807926,-263.305860745,-4.27755846978,-3.05513435248,-4.19404179866e-05
6203,40.0,0.0,-263.27731514697575,1,-7,10,1,-7,10,39.5113106186,-1.4908093939,-263.305789606,-4.34711031265,-3.12659712469,-0.000113078775996
