time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
4922,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-0.0225626467774,-0.0222215834172,-263.280659455,0.216562646777,0.730221583417,0.00334430845396
5015,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-31.3849739846,-30.7140593955,-264.340491128,-9.40902601542,-8.36394060445,0.938966111774
5125,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1596557092,-39.2100389976,-263.401717827,-0.864344290763,-0.108961002367,0.000192810951035
5234,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1613201724,-39.2116456131,-263.401486344,-0.862679827591,-0.107354386943,-3.86727679711e-05
5328,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1617620252,-39.2120721091,-263.401424891,-0.862237974823,-0.106927890931,-0.00010012525297
5422,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1613843723,-39.2117075817,-263.401477415,-0.862615627663,-0.107292418299,-4.7601697986e-05
5531,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1617102451,-39.2120221287,-263.401432092,-0.808221461734,-0.106061459598,-9.29255589881e-05
5625,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1614844456,-39.2118041769,-263.401463497,-0.734470212717,-0.124306473189,-6.15199609797e-05
5719,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1616399316,-39.2119542589,-263.401441872,-0.663431291501,-0.259007804349,-8.31462849646e-05
5828,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.161709807,-39.2120217057,-263.401432153,-0.658374506947,-0.339612214176,-9.28646229568e-05
5922,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1614027943,-39.2117253634,-263.401474853,-0.724195998916,-0.34102846211,-5.01638629657e-05
6031,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1619974034,-39.2122993066,-263.401392153,-0.738002596572,-0.34070069339,-0.00013286253602
6125,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1613112979,-39.2116370469,-263.401487578,-0.730491451473,-0.34928696203,-3.74385010105e-05
6219,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1620585081,-39.2123582875,-263.401383655,-0.663411838098,-0.412687044537,-0.000141361326996
6328,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1613694738,-39.211693201,-263.401479487,-0.650436058991,-0.426561450638,-4.55296579958e-05
6422,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1619975403,-39.2122994387,-263.401392134,-0.716896631207,-0.361102862131,-0.000132881581976
6531,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1615643432,-39.2118812976,-263.401452385,-0.738435656818,-0.341118702418,-7.26324259972e-05
6625,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1616134128,-39.2119286618,-263.40144556,-0.747231296235,-0.350377510332,-7.94569479581e-05
6719,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.16160961,-39.2119249911,-263.401446089,-0.819388038878,-0.42629862201,-7.89279879996e-05
6844,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1612575534,-39.2115851704,-263.401495053,-0.800189525413,-0.406067842977,-2.99627499771e-05
6922,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1620429899,-39.2123433087,-263.401385813,-0.747644272152,-0.350849375727,-0.000139202939977
7031,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1612709114,-39.2115980642,-263.401493195,-0.738729088571,-0.341401935846,-3.18205690064e-05
7125,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.162423413,-39.2127105099,-263.401332901,-0.737576586987,-0.340289490122,-0.000192114583967
7219,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1612724611,-39.21159956,-263.40149298,-0.73872753885,-0.341400439988,-3.20361189665e-05
7328,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1622619988,-39.2125547057,-263.401355352,-0.737738001163,-0.34044529425,-0.000169664466
7422,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1614044604,-39.2117269716,-263.401474621,-0.738595539581,-0.341273028396,-5.03956949842e-05
7531,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1617043192,-39.2120164087,-263.401432916,-0.738295680758,-0.34098359131,-9.21018059898e-05
7625,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1617019,-39.2120140735,-263.401433253,-0.738298100039,-0.340985926519,-9.17654339787e-05
7719,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1615418954,-39.21185963,-263.401455507,-0.738458104553,-0.341140369965,-6.95102449981e-05
7828,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1615738047,-39.2118904302,-263.401451069,-0.738426195343,-0.341109569767,-7.39481649816e-05
7922,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1615761152,-39.2118926605,-263.401450747,-0.738423884773,-0.341107339511,-7.426961497e-05
8031,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1614178826,-39.2117399273,-263.401472755,-0.738582117424,-0.341260072726,-5.22623739698e-05
8125,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1618370994,-39.212144574,-263.401414449,-0.738162900628,-0.340855426007,-0.000110567023967
8219,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.161365308,-39.2116891799,-263.401480067,-0.73863469205,-0.341310820102,-4.49502350079e-05
8328,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1620693009,-39.2123687052,-263.401382154,-0.944140241211,-0.242291870304,-0.00014286242498
8437,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1613230562,-39.2116483966,-263.401485943,-1.2242565262,-0.114513969172,-3.90738690044e-05
8531,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1620434322,-39.2123437356,-263.401385751,-1.28963221649,-0.114938902518,-0.000139264514985
8640,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1614949754,-39.2118143407,-263.401462032,-1.33165487388,-0.149624921936,-6.29845839626e-05
8719,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1620393479,-39.2123397933,-263.401386319,-1.32973444352,-0.203224409588,-0.000138696765021
8828,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1616045196,-39.2119200777,-263.401446797,-1.32939548036,-0.234079922306,-7.82201209972e-05
8922,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1616002538,-39.2119159601,-263.40144739,-1.32939974616,-0.234084039855,-7.76270100005e-05
9031,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1620249169,-39.2123258638,-263.401388326,-1.32897508313,-0.233674136227,-0.000136689558985
9125,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.161302356,-39.2116284159,-263.401488822,-1.32969764397,-0.234371584109,-3.61949199714e-05
9219,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1621304711,-39.2124277494,-263.401373645,-1.32886952888,-0.23357225062,-0.000151370872004
9328,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1612305711,-39.2115591259,-263.401498806,-1.21851698387,-0.175457896807,-2.62100709847e-05
9422,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1623928323,-39.2126809921,-263.401337155,-1.08931644169,-0.130744613221,-0.000187861173004
9531,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1613210207,-39.2116464318,-263.401486226,-1.00881683605,-0.360308620303,-3.87908309563e-05
9625,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1612972505,-39.2116234878,-263.401489532,-1.00460368059,-0.372201681551,-3.5484798957e-05
9719,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1620610461,-39.2123607374,-263.401383302,-1.07353511418,-0.176207162664,-0.000141714381016
9828,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1613076952,-39.2116335695,-263.40148808,-0.938247215609,-0.108656315631,-3.69374669731e-05
9922,-40.0,-40.0,-263.27731514697575,-7,16,-1,-7,16,-1,-40.1343788743,-39.2120141688,-263.402809457,-0.771621125745,-0.104985831236,0.00128444123499
10015,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,-8.57277125662,-39.8010095764,-263.141272209,2.57877125662,1.38000957645,0.685747573574
10125,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,-0.00191188227365,-39.9587703637,-262.455707864,-5.74808811773,1.18677036373,0.000183229010986
10219,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000344653227605,-39.9588113642,-262.455491603,-5.68443223803,1.18792852374,-3.30323510411e-05
10328,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00206738480836,-39.9588426653,-262.455326485,-5.65909541138,1.21304331909,-0.000198149998994
10422,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000286529495641,-39.9588103081,-262.455497173,-5.7250824291,1.27853857464,-2.74615730405e-05
10531,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00194305754529,-39.9588404064,-262.455338402,-5.69599735287,1.24884332002,-0.000186232973022
10625,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000531380707355,-39.9588147569,-262.455473706,-5.64670968234,1.20252435436,-5.09301220291e-05
10719,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000309479921153,-39.9588107251,-262.455494974,-5.71170273326,1.26557940806,-2.96612100215e-05
10828,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00231686976762,-39.9588471983,-262.455302572,-5.68356359684,1.27162178779,-0.000222062750993
10922,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000394122101565,-39.958812263,-262.455486861,-5.54407191263,1.20596819654,-3.77736409973e-05
11031,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00155993341304,-39.9588334452,-262.455375123,-5.57775538266,1.19025220495,-0.000149511778034
11125,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000708357760133,-39.9588179725,-262.455456743,-5.632875272,1.19874937006,-6.78925100033e-05
11219,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000333601259621,-39.9588111633,-262.455492662,-5.63359045644,1.26359404631,-3.19730750107e-05
11328,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00211049626759,-39.9588434486,-262.455322353,-5.63557498557,1.27598056219,-0.000202282249006
11422,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000456584845056,-39.9588133979,-262.455480875,-5.63280018033,1.20925732907,-4.37603060277e-05
11531,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00134661801467,-39.9588295694,-262.455395569,-5.57745415495,1.19025056417,-0.000129066265004
11625,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000825506880211,-39.958820101,-262.455445515,-5.51854172198,1.18392725479,-7.91206979898e-05
11719,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000351429910089,-39.9588114873,-262.455490953,-5.58938604544,1.03244593218,-3.36818300184e-05
11828,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00193598057673,-39.9588402777,-262.45533908,-5.6296612004,0.994990857059,-0.000185555230019
11922,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000507956641886,-39.9588143313,-262.455475951,-5.62938938799,1.06375949643,-4.868497399e-05
12031,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00115974809955,-39.958826174,-262.45541348,-5.56288062228,1.1416155151,-0.000111155441004
12125,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000926463872522,-39.9588219354,-262.455435839,-5.51492646387,1.19182193537,-8.87979489903e-05
12234,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000422512290186,-39.9588127788,-262.45548414,-5.51442251229,1.19181277882,-4.04945920423e-05
12328,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00178764228191,-39.9588375825,-262.455353298,-5.51578764228,1.19183758252,-0.00017133726999
12422,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000552317508574,-39.9588151373,-262.455471699,-5.51455231751,1.19181513732,-5.29366880073e-05
12531,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000995592963201,-39.9588231914,-262.455429213,-5.51499559296,1.1918231914,-9.5421750018e-05
12625,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00101627365629,-39.9588235672,-262.455427231,-5.51467093578,1.17812516474,-9.74037910169e-05
12719,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000378989895095,-39.958811988,-262.455488312,-5.51239643718,1.11317073031,-3.63232660447e-05
12844,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00104447122534,-39.9588240795,-262.455424529,-5.51204447123,1.0728240795,-0.000100106067009
12922,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000593260444027,-39.9588158812,-262.455467775,-5.51159326044,1.07281588123,-5.68608130038e-05
13031,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000842480765798,-39.9588204094,-262.455443889,-5.27733870497,0.84673803995,-8.07474830253e-05
13140,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00144464545387,-39.9588313505,-262.455386174,-5.15044464545,0.723831350458,-0.000138461192023
13219,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000391140114594,-39.9588122088,-262.455487147,-5.14939114011,0.723812208799,-3.74877810145e-05
13328,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00152123331573,-39.958832742,-262.455378833,-5.10301943301,0.678293826008,-0.000145802439022
13422,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.000631709877927,-39.9588165798,-262.45546409,-5.03174497334,0.610801196044,-6.05459520102e-05
13531,0.0,-40.0,-263.27731514697575,-9,6,6,-9,6,6,0.00069758656134,-39.9588177768,-262.455457776,-5.02564303036,0.463031812789,-6.68598810307e-05
