time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
4906,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-0.000321205133472,-0.000338169624007,-263.277267473,-2.80467879487,-3.52766183038,-4.76740830209e-05
5000,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,31.0415433509,32.9218948988,-264.055542334,5.42745664908,8.35310510125,1.11790521985
5109,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3861730644,41.8848679539,-262.938042184,-2.68417306442,-0.243867953907,0.000405069641033
5203,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.389305865,41.8882451298,-262.937509694,-2.68730586503,-0.247245129838,-0.000127420127967
5312,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3896349039,41.8885998362,-262.937453761,-2.68763490393,-0.247599836159,-0.00018335300399
5406,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3889540755,41.8878658981,-262.937569495,-2.68695407553,-0.246865898144,-6.76192530022e-05
5516,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.388842913,41.8877460641,-262.937588391,-2.68684291301,-0.246746064141,-4.87228699626e-05
5625,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3897220142,41.8886937418,-262.937438952,-2.68855695013,-0.197597587317,-0.000198161832998
5703,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3888741083,41.8877796929,-262.937583088,-2.68845877948,-0.151699420797,-5.40257190096e-05
5812,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3896336097,41.888598441,-262.93745398,-2.68901974588,-0.16443026882,-0.000183133771998
5922,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3894441133,41.8883941625,-262.937486193,-2.68780388614,-0.225807794689,-0.00015092057896
6016,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3890148846,41.8879314507,-262.937559158,-2.68755384776,-0.21459366037,-7.79570609666e-05
6109,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3895940548,41.8885558007,-262.937460704,-2.68903709804,-0.160973209158,-0.000176410237998
6203,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3889238389,41.8878333028,-262.937574635,-2.68857569857,-0.14772172232,-6.24792289727e-05
6312,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.389349886,41.8882925848,-262.937502211,-2.6879679714,-0.210207463787,-0.000134902753985
6406,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3892094859,41.8881412324,-262.937526078,-2.6875042773,-0.229453746931,-0.00011103728599
6516,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.388933893,41.8878441412,-262.937572926,-2.68835346094,-0.161670064237,-6.41884149672e-05
6609,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3896994586,41.8886694268,-262.937442786,-2.71016185784,-0.128180986737,-0.000194328203008
6719,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3887738242,41.8876715859,-262.937600135,-2.77135409442,-0.128736092698,-3.69787499608e-05
6812,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3892385545,41.8881725686,-262.937521137,-2.79382985515,-0.144949763842,-0.000115977392966
6906,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3892830437,41.8882205283,-262.937513574,-2.73969980518,-0.196951994745,-0.000123540316963
7016,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3888514117,41.8877552258,-262.937586946,-2.6870317818,-0.23593301761,-5.01675119722e-05
7109,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3897944904,41.8887718718,-262.937426631,-2.6888554087,-0.184116773072,-0.000210482856005
7203,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3888621831,41.8877668374,-262.937585115,-2.68881311781,-0.129710752562,-5.19985709957e-05
7312,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3891661168,41.8880944802,-262.93753345,-2.62943666442,-0.125588695652,-0.000103664664948
7406,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3893443383,41.8882866043,-262.937503154,-2.57553396841,-0.124417435264,-0.000133959734001
7516,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3888457803,41.8877491551,-262.937587904,-2.51282203222,-0.0643091465088,-4.92102519729e-05
7609,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3898856372,41.8888701287,-262.937411137,-2.46134432645,-0.0106872370383,-0.00022597717799
7703,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3888312915,41.8877335361,-262.937590367,-2.40367766038,0.0498895120155,-4.67474159791e-05
7812,40.0,40.0,-263.27731514697575,13,-11,6,13,-11,6,39.3890953986,41.8880182454,-262.937545472,-2.33751964342,0.119433189521,-9.16432359759e-05
