time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,0,0,-263.277315153,-0.15,0.104,5.67496272197e-09
110,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,4.59501323914e-15,8.81935338644e-15,-263.277315152,-0.15,0.104,4.62699745185e-09
203,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,8.47988806859e-15,1.6275715795e-14,-263.277315151,-0.15,0.104,3.73995590053e-09
313,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,1.30749013077e-14,2.50950691814e-14,-263.27731515,-0.15,0.104,2.69199063041e-09
406,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,1.69597761372e-14,3.25514315899e-14,-263.277315149,-0.15,0.104,-1.94006588572e-10
516,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,2.15547893763e-14,4.13707849764e-14,-263.277315148,-0.15,0.104,-2.42039277509e-10
610,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,2.40922336844e-14,4.73786094641e-14,-263.277315147,-0.15,0.104,-2.40447661781e-11
703,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,1.7102031635e-14,4.28677674073e-14,-263.277315147,-0.15,0.104,-2.40447661781e-11
813,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,8.83405071629e-15,3.7532362824e-14,-263.277315147,-0.15,0.104,-2.40447661781e-11
906,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,1.84384866687e-15,3.30215207673e-14,-263.277315147,-0.103411554328,0.105184452009,-2.40447661781e-11
1016,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-6.42413225179e-15,2.7686116184e-14,-263.277315147,-0.0525784541314,0.126898174656,-2.40447661781e-11
1110,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.34894977641e-14,2.31267704492e-14,-263.277315147,-0.131196523661,0.202917299738,-2.40447661781e-11
1203,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.97718890454e-14,1.96869965315e-14,-263.277315147,-0.214745516966,0.222430198721,-2.40447661781e-11
1313,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.65222391219e-14,3.17802155126e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
1406,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.37748078229e-14,4.20044824693e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
1516,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.05251578993e-14,5.40977014503e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
1610,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-7.74818432833e-15,6.44319067614e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
1703,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-5.00075302934e-15,7.46561737181e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
1813,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.45899360941e-15,8.39897911727e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
1906,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.24341943675e-15,8.04456599554e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
2016,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.17123493145e-15,7.62536767951e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
2110,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-4.9640954451e-15,7.26714366399e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
2203,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-5.74852127243e-15,6.91273054226e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
2313,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-6.67633676713e-15,6.49353222623e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
2406,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-8.04260945294e-15,6.27443282076e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
2531,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.44764465226e-14,7.04912246878e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
2610,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-1.85426315507e-14,7.53872632632e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
2703,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.33294063305e-14,8.11509542445e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
2813,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-2.89911829519e-14,8.7968223147e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
2906,0.0,0.0,-263.27731514697575,0,0,0,0,0,0,-3.37779577317e-14,9.37319141282e-14,-263.277315147,-0.271,0.221,-2.40447661781e-11
