time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-263.277315152675,-3.89997611151327,-2.6873614585613,5.69900748814689e-09
100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.20749884116515e-15,1.22470012661965e-15,-263.27731515204,-3.867,-2.62,5.0640096560528e-09
200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.4149976823303e-15,2.4494002532393e-15,-263.277315151405,-3.8538132991055,-2.61988918738744,4.42901182395872e-09
300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.62249652349545e-15,3.67410037985894e-15,-263.277315150771,-3.77298254446799,-2.61920993734847,3.79503717340413e-09
400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.82999536466061e-15,4.89880050647859e-15,-263.277315150136,-3.748,-2.61900000000001,3.16003934131004e-09
500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.03749420582576e-15,6.12350063309824e-15,-263.277315149502,-3.74799999999999,-2.61900000000001,2.52600784733659e-09
600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-7.24499304699091e-15,7.34820075971789e-15,-263.277315148867,-3.74799999999999,-2.61900000000001,0
700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-8.45249188815606e-15,8.57290088633753e-15,-263.277315148232,-3.74799999999999,-2.61900000000001,0
800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-9.65999072932121e-15,9.79760101295719e-15,-263.277315147598,-3.74799999999999,-2.61900000000001,0
900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.09712806137446e-14,1.10329782537257e-14,-263.277315146976,-3.74799999999999,-2.61900000000001,0
1000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.7368331617824e-14,1.27915340877886e-14,-263.277315146976,-3.74799999999998,-2.61900000000001,0
1100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.37653826219034e-14,1.45500899218514e-14,-263.277315146976,-3.74847363094413,-2.56263791764589,0
1200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.01624336259828e-14,1.63086457559143e-14,-263.277315146976,-3.74882917222397,-2.5203285053435,0
1300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.65594846300622e-14,1.80672015899771e-14,-263.277315146976,-3.74813764245071,-2.60262054836152,0
1400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.29565356341415e-14,1.982575742404e-14,-263.277315146976,-3.74799999999996,-2.61900000000002,0
1500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.93535866382209e-14,2.15843132581029e-14,-263.277315146976,-3.74799999999995,-2.61900000000002,0
1600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.57506376423003e-14,2.33428690921657e-14,-263.277315146976,-3.74799999999994,-2.61900000000002,0
1700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.21476886463797e-14,2.51014249262286e-14,-263.277315146976,-3.74799999999994,-2.61900000000003,0
1800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.802536750165e-14,2.66725925683365e-14,-263.277315146976,-3.74799999999993,-2.61900000000003,0
1900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.14381147855033e-14,2.3746443603526e-14,-263.277315146976,-3.74799999999994,-2.61900000000002,0
2000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.48508620693567e-14,2.08202946387154e-14,-263.277315146976,-3.74799999999995,-2.61900000000002,0
2100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.826360935321e-14,1.78941456739049e-14,-263.277315146976,-3.74799999999995,-2.61900000000002,0
2200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.16763566370633e-14,1.49679967090944e-14,-263.277315146976,-3.74799999999996,-2.61900000000002,0
2300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.50891039209167e-14,1.20418477442838e-14,-263.277315146976,-3.74799999999997,-2.61900000000001,0
2400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.850185120477e-14,9.11569877947331e-15,-263.277315146976,-3.74799999999997,-2.61900000000001,0
2500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.19145984886233e-14,6.18954981466278e-15,-263.277315146976,-3.74799999999998,-2.61900000000001,0
2600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.53273457724767e-14,3.26340084985224e-15,-263.277315146976,-3.74799999999998,-2.619,0
2700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-8.9109397034313e-15,9.18347532914015e-16,-263.277315146976,-3.74799999999999,-2.619,0
2800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.17113110563981e-15,7.67712603264155e-15,-263.277315146976,-3.74799999999999,-2.61900000000001,0
2900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.4313225078483e-15,1.44359045323691e-14,-263.277315146976,-3.748,-2.61900000000001,0
3000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,2.3084860899432e-15,2.11946830320967e-14,-263.277315146976,-3.748,-2.61900000000002,0
3100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,6.04829468773471e-15,2.79534615318242e-14,-263.277315146976,-3.74800000000001,-2.61900000000003,0
3200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,9.78810328552622e-15,3.47122400315518e-14,-263.277315146976,-3.74800000000001,-2.61900000000003,0
3300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.35279118833177e-14,4.14710185312793e-14,-263.277315146976,-3.74800000000001,-2.61900000000004,0
3400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.72677204811092e-14,4.82297970310069e-14,-263.277315146976,-3.74800000000002,-2.61900000000005,0
3500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,2.10075290789007e-14,5.49885755307345e-14,-263.277315146976,-3.74839952604826,-2.57145640025996,0
3600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,2.38861411704969e-14,6.14785669333014e-14,-263.277315146976,-3.748838713986,-2.51919303566876,0
3700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.68609934408471e-14,6.48775067185204e-14,-263.277315146976,-3.74814620327964,-2.60160180972531,0
3800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,9.83584571119734e-15,6.82764465037393e-14,-263.277315146976,-3.74800000000001,-2.61900000000007,0
3900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,2.81069798154754e-15,7.16753862889583e-14,-263.277315146976,-3.748,-2.61900000000007,0
4000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.21444974810227e-15,7.50743260741774e-14,-263.277315146976,-3.748,-2.61900000000008,0
4100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.1239597477752e-14,7.84732658593963e-14,-263.277315146976,-3.74862871907056,-2.54418243060213,0
4200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.82647452074019e-14,8.18722056446154e-14,-263.277315146976,-3.74867210029952,-2.53902006435519,0
4300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.52898929370517e-14,8.52711454298343e-14,-263.277315146976,-3.74802767661207,-2.61570648316076,0
4400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.23150406667015e-14,8.86700852150534e-14,-263.277315146976,-3.74870605255092,-2.53497974643721,0
4500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.69638302361966e-14,8.30930067607036e-14,-263.277315146976,-3.74854854771135,-2.55372282234514,0
4600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.40857321081437e-14,1.38475212036393e-14,-263.277315146976,-1.62505104639848,-2.47987786033902,0
4700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.63250411061783e-14,1.28308002613772e-14,-263.277315146976,5.19171171520115,-2.03315839525427,0
4800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.81969636976508e-14,1.31955425701348e-14,-263.277315146976,12.0084744768008,-1.58643893016952,0
4900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,0.00236065735308878,0.000104839304918317,-263.277429663307,18.8228765810473,-1.13982430438967,0.000114516330995684
5000,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,24.0492994210031,1.01904272032071,-263.365913416825,1.5927005789969,-1.71204272032071,0.314644902221971
5100,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0685951805239,1.25713268256533,-263.051401176445,-4.26350580453793,-1.78497888409853,0.000132661841973913
5200,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0714210683513,1.25724266630604,-263.051221216085,-4.1924210683513,-1.71024266630604,-4.72995639597684e-05
5300,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.071791793431,1.25725709481328,-263.051197604858,-4.16325943715608,-1.71979958319181,-7.09097450339868e-05
5400,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0712120513095,1.25723453141074,-263.051234527959,-3.91465416489971,-1.79991897381613,-3.39871839969419e-05
5500,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.072200989357,1.25727302057524,-263.051171543118,-3.77400317309836,-1.76454475136088,-9.69714849929915e-05
5600,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0711367840376,1.25723160202444,-263.051239321558,-3.71488625134665,-1.73529552493799,-2.91934439928809e-05
5700,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0722629124963,1.25727543060277,-263.051167599246,-3.71530683344617,-1.82000491661845,-0.000100915356995301
5800,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0712471686872,1.25723589817319,-263.051232291448,-3.71294136552555,-2.05897466410894,-3.62237689728317e-05
5900,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0718716335436,1.25726020216442,-263.051192519872,-3.7128716335436,-2.18326020216442,-7.59947309916242e-05
6000,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.071576243388,1.25724870567966,-263.051211333248,-3.712576243388,-2.18324870567966,-5.71828840065791e-05
6100,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.07131699277,1.25723861571167,-263.051227844515,-3.71231699277,-2.18323861571167,-4.06708620062091e-05
6200,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0721719877803,1.2572718918419,-263.051173390213,-3.7131719877803,-2.1832718918419,-9.51243899862675e-05
6300,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0710860008944,1.25722962555327,-263.051242555788,-3.69594859479378,-2.18309401709864,-2.59591299709427e-05
6400,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0728485238203,1.2572982222971,-263.05113029996,-3.61612677899899,-2.18247703116415,-0.000138214643015999
6500,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0710639435964,1.25722876708575,-263.051243960529,-3.6628141517063,-2.18281490328835,-2.45543560026817e-05
6600,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0730295838762,1.25730526906484,-263.051118767764,-3.63574736493647,-2.02408719664507,-0.00014974683898572
6700,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0712126863495,1.25723455611851,-263.051234487384,-3.4762126863495,-1.70323455611851,-3.40277609893747e-05
6800,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0723485193939,1.25727876237975,-263.051162146699,-3.4773485193939,-1.70327876237975,-0.000106367903981663
6900,30.0,0.0,-263.27731514697575,1.0,-6.0,7.0,1.0,-6.0,7.0,30.0715389622348,1.2572472546779,-263.051213707114,-3.52627332336719,-1.70366519048574,-5.48088939922309e-05
