time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-263.277315152675,-1.65454701897042,-1.01774329211337,5.69900748814689e-09
100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.43433822298021e-16,2.43635752391555e-15,-263.277315151858,-1.66801379502306,-1.00438968224604,4.8819970288605e-09
200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.28686764459604e-15,4.87271504783109e-15,-263.277315151042,-1.72580451328615,-0.947084600270878,4.0660097511136e-09
300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.93030146689406e-15,7.30907257174664e-15,-263.277315150225,-1.6328254773668,-1.03928229975393,3.2489992918272e-09
400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.57373528919209e-15,9.74543009566219e-15,-263.277315149409,-1.62,-1.05200000000001,2.4330120140803e-09
500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.21716911149011e-15,1.21817876195777e-14,-263.277315148592,-1.65424588941753,-1.15768990009896,0
600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.86060293378813e-15,1.46181451434933e-14,-263.277315147776,-1.73475230775487,-1.40614936358832,0
700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.43547344953153e-15,1.71008762383783e-14,-263.277315146976,-1.736,-1.41000000000002,0
800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.65074194409854e-15,2.18559123107677e-14,-263.277315146976,-1.736,-1.41000000000002,0
900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.13398956133444e-15,2.66109483831571e-14,-263.277315146976,-1.736,-1.41000000000003,0
1000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,3.91872106676742e-15,3.13659844555465e-14,-263.277315146976,-1.736,-1.41000000000003,0
1100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,6.70345257220041e-15,3.61210205279359e-14,-263.277315146976,-1.73600000000001,-1.41000000000004,0
1200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,9.48818407763339e-15,4.08760566003253e-14,-263.277315146976,-1.73600000000001,-1.41000000000004,0
1300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.22729155830664e-14,4.56310926727147e-14,-263.277315146976,-1.73600000000001,-1.41000000000005,0
1400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.49246296333899e-14,4.99940929752961e-14,-263.277315146976,-1.73600000000001,-1.41000000000005,0
1500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.43839247610853e-14,4.49482348024867e-14,-263.277315146976,-1.73600000000001,-1.41000000000004,0
1600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.38432198887807e-14,3.99023766296772e-14,-263.277315146976,-1.73600000000001,-1.41000000000004,0
1700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.33025150164762e-14,3.48565184568678e-14,-263.277315146976,-1.73600000000001,-1.41000000000003,0
1800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.27618101441716e-14,2.98106602840584e-14,-263.277315146976,-1.73600000000001,-1.41000000000003,0
1900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.22211052718671e-14,2.47648021112489e-14,-263.277315146976,-1.73600000000001,-1.41000000000002,0
2000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.16804003995625e-14,1.97189439384395e-14,-263.277315146976,-1.73600000000001,-1.41000000000002,0
2100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.07817247676112e-14,1.47383830213569e-14,-263.277315146976,-1.73600000000001,-1.41000000000001,0
2200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,4.27484056786033e-15,1.07808124439956e-14,-263.277315146976,-1.736,-1.41000000000001,0
2300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.23204363189047e-15,6.82324186663418e-15,-263.277315146976,-1.736,-1.41000000000001,0
2400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-8.7389278316413e-15,2.8656712892728e-15,-263.277315146976,-1.73599999999999,-1.41,0
2500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.52458120313921e-14,-1.09189928808858e-15,-263.277315146976,-1.73599999999998,-1.41,0
2600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.1752696231143e-14,-5.04946986544996e-15,-263.277315146976,-1.73599999999998,-1.40999999999999,0
2700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.82595804308938e-14,-9.00704044281135e-15,-263.277315146976,-1.73599999999997,-1.40999999999999,0
2800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.37465964926466e-14,-1.20133529602205e-14,-263.277315146976,-1.73599999999997,-1.40999999999999,0
2900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.75051289674223e-14,-4.0801977881793e-15,-263.277315146976,-1.73599999999997,-1.41,0
3000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.1263661442198e-14,3.8529573838619e-15,-263.277315146976,-1.73599999999998,-1.41,0
3100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.50221939169737e-14,1.17861125559031e-14,-263.277315146976,-1.73599999999998,-1.41000000000001,0
3200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-8.78072639174938e-15,1.97192677279443e-14,-263.277315146976,-1.73599999999999,-1.41000000000002,0
3300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.53925886652511e-15,2.76524228999855e-14,-263.277315146976,-1.736,-1.41000000000003,0
3400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,3.70220865869919e-15,3.55855780720267e-14,-263.277315146976,-1.736,-1.41000000000004,0
3500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,8.09808299065426e-15,4.22949668742332e-14,-263.277315146976,-1.73600000000001,-1.41000000000004,0
3600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.11638141681337e-15,3.79904583479273e-14,-263.277315146976,-1.75486406975741,-1.41015852159464,0
3700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.6330845824281e-14,3.36859498216215e-14,-263.277315146976,-1.83727981082848,-1.41085109084733,0
3800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.85453102317486e-14,2.93814412953157e-14,-263.277315146976,-1.78770242052643,-1.4104344741221,0
3900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.07597746392162e-14,2.50769327690099e-14,-263.277315146976,-1.73599999999996,-1.41000000000003,0
4000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.29742390466838e-14,2.0772424242704e-14,-263.277315146976,-1.73599999999995,-1.41000000000002,0
4100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.51887034541514e-14,1.64679157163982e-14,-263.277315146976,-1.73599999999993,-1.41000000000002,0
4200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-7.41787987880177e-14,1.27501254177752e-14,-263.277315146976,-1.73599999999993,-1.41000000000001,0
4300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.95235209154751e-14,1.33349354554926e-14,-263.277315146976,-1.70426078816129,-1.4097321585499,0
4400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.48682430429324e-14,1.391974549321e-14,-263.277315146976,-1.53295745615733,-1.40828656081147,0
4500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.02129651703898e-14,1.45045555309274e-14,-263.277315146976,-1.36940914758292,-1.40691100124021,0
4600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.55576872978472e-14,1.50893655686448e-14,-263.277315146976,1.29434719188756,-1.52891100580679,0
4700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-9.02409425304411e-16,1.56741756063622e-14,-263.277315146976,9.05476039391566,-1.9021832543551,0
4800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.37528684472382e-14,1.62589856440796e-14,-263.277315146976,16.8151735959438,-2.2754555029034,0
4900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,0.0173463211487694,-3.88805658024581e-08,-263.278340019792,24.5582404768231,-2.64872771257113,0.00102487281600361
5000,35.0,0.0,-263.27731514697575,1.0,-7.0,9.0,1.0,-7.0,9.0,29.6437334846114,-0.0780784145857931,-263.394681001381,2.6922665153886,-2.94392158541421,0.480261297298
5100,35.0,0.0,-263.27731514697575,1.0,-7.0,9.0,1.0,-7.0,9.0,37.0780136155673,-0.125796861022335,-262.914613193321,-4.7420136155673,-2.89620313897766,0.000193489238995426
5200,35.0,0.0,-263.27731514697575,1.0,-7.0,9.0,1.0,-7.0,9.0,37.0814709793837,-0.125822156664531,-262.914340660905,-4.7454709793837,-2.89617784333547,-7.90431769814859e-05
5300,35.0,0.0,-263.27731514697575,1.0,-7.0,9.0,1.0,-7.0,9.0,37.0810876284681,-0.125819351751588,-262.914370881395,-4.7450876284681,-2.89618064824841,-4.88234130102683e-05
5400,35.0,0.0,-263.27731514697575,1.0,-7.0,9.0,1.0,-7.0,9.0,37.0814394639215,-0.125821926076595,-262.914343145261,-4.7454394639215,-2.8961780739234,-7.65606059758284e-05
5500,35.0,0.0,-263.27731514697575,1.0,-7.0,9.0,1.0,-7.0,9.0,37.0813625701085,-0.125821363454006,-262.914349207043,-4.7453625701085,-2.89617863654599,-7.04985519632828e-05
