time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-263.277315152675,-6.605,-1.81,5.69900748814689e-09
100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.69931265546606e-15,2.11121588593157e-15,-263.277315152156,-6.605,-1.81,5.18002707394771e-09
200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.39862531093212e-15,4.22243177186313e-15,-263.277315151637,-6.605,-1.81,4.66104665974854e-09
300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.09793796639819e-15,6.3336476577947e-15,-263.277315151118,-6.605,-1.81000000000001,4.1420094021305e-09
400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.79725062186425e-15,8.44486354372626e-15,-263.277315150599,-6.60499999999999,-1.81000000000001,3.62302898793132e-09
500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-8.49656327733031e-15,1.05560794296578e-14,-263.27731515008,-6.60499999999999,-1.81000000000001,3.10404857373214e-09
600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.01958759327964e-14,1.26672953155894e-14,-263.27731514956,-6.60499999999999,-1.81000000000001,2.58404497799347e-09
700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.18951885882624e-14,1.4778511201521e-14,-263.277315149041,-6.60499999999999,-1.81000000000001,2.06500772037543e-09
800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.35945012437285e-14,1.68897270874525e-14,-263.277315148522,-6.60499999999999,-1.81000000000002,0
900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.52938138991946e-14,1.90009429733841e-14,-263.277315148003,-6.60499999999999,-1.81000000000002,0
1000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.69931265546606e-14,2.11121588593157e-14,-263.277315147484,-6.60499999999998,-1.81000000000002,0
