run_id,time,measured_x_est,measured_y_est,measured_z_est,estimator_method,valid
2026-06-05_run01_pre_cross_pm40_r01,16,0,-1.65436122511e-24,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,125,-1.32068670886e-15,1.33760554502e-15,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,219,-2.459627542e-15,2.49113693411e-15,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,328,-3.78031424921e-15,3.82874247748e-15,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,422,-4.9192550807e-15,4.98227386492e-15,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,532,-6.25205818138e-15,6.33215102044e-15,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,625,-7.37888262104e-15,7.47341079738e-15,-263.277315149,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,750,-8.89343159909e-15,9.00736211047e-15,-263.277315148,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,828,-9.83851016139e-15,9.96454772984e-15,-263.277315148,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,922,-1.1385815262e-14,1.11594284701e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,1032,-1.84191348091e-14,1.3086517403e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,1125,-2.43654867898e-14,1.47157835008e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,1219,-3.03757780391e-14,1.63625685889e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,1328,-3.73451583176e-14,1.82721385316e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,1422,-4.3355449567e-14,1.99189236197e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,1532,-5.03887691141e-14,2.18460125526e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,1625,-5.63351210948e-14,2.34752786504e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,1719,-6.23454123442e-14,2.51220637386e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,1828,-6.72634590341e-14,2.66287354857e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,1953,-5.89857725238e-14,2.56230334838e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,2032,-5.37542746493e-14,2.49874298186e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,2125,-4.75956758856e-14,2.42391875293e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_cross_pm40_r01,2219,-4.13708556299e-14,2.34828996239e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
