run_id,time,measured_x_est,measured_y_est,measured_z_est,estimator_method,valid
2026-06-05_run01_pre_static_center_r01,16,0,-1.65436122511e-24,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,125,4.55324039317e-15,8.73917744656e-15,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,219,8.47988806859e-15,-1.74507285811e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,344,1.37014940238e-14,-7.42873609566e-15,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,422,1.69597761372e-14,3.25514315899e-14,-263.277315149,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,531,2.15130165287e-14,4.12906090365e-14,-263.277315148,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,625,2.41673971473e-14,4.74271131421e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,719,1.7102031635e-14,4.28677674073e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,828,8.90921417919e-15,3.75808665021e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,922,1.84384866687e-15,3.30215207673e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,1031,-6.34896878889e-15,2.77346198621e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,1125,-1.34143343012e-14,2.31752741273e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,1219,-1.97718890454e-14,1.96869965315e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,1328,-1.65517813939e-14,3.16702771582e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,1422,-1.37748078229e-14,4.20044824693e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,1531,-1.05547001714e-14,5.3987763096e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,1625,-7.77772660036e-15,6.43219684071e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,1719,-5.00075302934e-15,7.46561737181e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,1844,-2.58551390414e-15,8.34181571054e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,1922,-3.24341943675e-15,8.04456599554e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,2031,-4.16280024513e-15,7.62917857329e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,2125,-4.95566075878e-15,7.27095455777e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,2219,-5.74852127243e-15,6.91273054226e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,2328,-6.66790208082e-15,6.49734312001e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,2422,-8.04260945294e-15,6.27443282076e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,2531,-1.36529153777e-14,6.94996219383e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,2625,-1.84911608541e-14,7.53252880914e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,2719,-2.33294063305e-14,8.11509542445e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,2828,-2.89397122553e-14,8.79062479752e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,2922,-3.37779577317e-14,9.37319141282e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,3031,-3.64664350241e-14,9.68166608142e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,3125,-3.00484554412e-14,8.85016949096e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,3219,-2.36304758583e-14,8.01867290051e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,3328,-1.61883505973e-14,7.05449068392e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,3438,-8.67794895774e-15,6.08146275891e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,3531,-2.32824575339e-15,5.25881187687e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,3625,1.2002772856e-15,4.54248613013e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,3719,-5.77468766435e-15,4.24481889421e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,3828,-1.38626789361e-14,3.89965156744e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,3922,-2.08376438861e-14,3.60198433151e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,4031,-2.89256351578e-14,3.25681700475e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,4125,-3.59006001078e-14,2.95914976882e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,4219,-4.17289050715e-14,2.88561700921e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,4328,-4.20826179709e-14,4.05224782094e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
2026-06-05_run01_pre_static_center_r01,4422,-4.23876547832e-14,5.05833310812e-14,-263.277315147,fk_theta_meas_command_echo_no_encoder,True
