run_id,time,measured_x_est,measured_y_est,measured_z_est,estimator_method,valid
2026-06-06_run02_cross_pm30_on_r03,0,0,-1.65436122510606e-24,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,100,-1.20749884116515e-15,1.22470012661965e-15,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,200,-2.41499768067594e-15,2.4494002532393e-15,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,300,-3.62249652514981e-15,3.6741003815133e-15,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,400,-4.82999536466061e-15,4.89880050730577e-15,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,500,-6.0374942041714e-15,6.12350063309824e-15,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,600,-7.24499304699091e-15,7.34820075971789e-15,-263.277315148867,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,700,-8.45249188815606e-15,8.57290088633753e-15,-263.277315148232,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,800,-9.65999072932121e-15,9.79760101295719e-15,-263.277315147598,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,900,-1.09712806137446e-14,1.10329782537257e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,1000,-1.7368331617824e-14,1.27915340877886e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,1100,-2.37653826219034e-14,1.45500899218514e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,1200,-3.01624336259828e-14,1.63086457559143e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,1300,-3.65594846300622e-14,1.80672015899771e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,1400,-4.29565356341415e-14,1.982575742404e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,1500,-4.93535866382209e-14,2.15843132581029e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,1600,-5.57506376423003e-14,2.33428690921657e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,1700,-6.21476886463797e-14,2.51014249262286e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,1800,-6.802536750165e-14,2.66725925683365e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,1900,-6.14381147855033e-14,2.3746443603526e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,2000,-5.48508620693567e-14,2.08202946387154e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,2100,-4.826360935321e-14,1.78941456739049e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,2200,-4.16763566370633e-14,1.49679967090944e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,2300,-3.50891039209167e-14,1.20418477442838e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,2400,-2.850185120477e-14,9.11569877947331e-15,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,2500,-2.19145984886233e-14,6.18954981466278e-15,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,2600,-1.53273457724767e-14,3.26340084985224e-15,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,2700,-8.9109397034313e-15,9.18347532914015e-16,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,2800,-5.17113110563981e-15,7.67712603264155e-15,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,2900,-1.4313225078483e-15,1.44359045323691e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,3000,2.3084860899432e-15,2.11946830320967e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,3100,6.04829468773471e-15,2.79534615318242e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,3200,9.78810328552622e-15,3.47122400315518e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,3300,1.35279118833177e-14,4.14710185312793e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,3400,1.72677204811092e-14,4.82297970310069e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,3500,2.10075290789007e-14,5.49885755307345e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,3600,2.38861411704969e-14,6.14785669333014e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,3700,1.68609934408471e-14,6.48775067185204e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,3800,9.83584571119734e-15,6.82764465037393e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,3900,2.81069798154754e-15,7.16753862889583e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,4000,-4.21444974810227e-15,7.50743260741774e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,4100,-1.1239597477752e-14,7.84732658593963e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,4200,-1.82647452074019e-14,8.18722056446154e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,4300,-2.52898929370517e-14,8.52711454298343e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,4400,-3.23150406667015e-14,8.86700852150534e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,4500,-3.69638302361966e-14,8.30930067607036e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,4600,-2.40857321081437e-14,1.38475212036393e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,4700,-2.63250411061783e-14,1.28308002613772e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,4800,-2.81969636976508e-14,1.31955425701348e-14,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,4900,7.84266960153298e-15,3.27986303184753e-15,-263.277315146976,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,5000,30.0706783958363,1.25721376161685,-263.051268514603,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,5100,30.0706783958363,1.25721376161684,-263.051268514603,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,5200,30.0706783959558,1.2572137616221,-263.051268515649,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,5300,30.0706783958363,1.25721376161685,-263.051268514603,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,5400,30.070678395898,1.25721376161955,-263.051268515143,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,5500,30.0706783958363,1.25721376161686,-263.051268514603,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,5600,30.0706783958818,1.25721376161886,-263.051268515002,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,5700,30.0706783958363,1.25721376161687,-263.051268514603,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,5800,30.0706783959064,1.25721376161994,-263.051268515217,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,5900,30.0706783958363,1.25721376161684,-263.051268514603,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,6000,30.070678396011,1.25721376162455,-263.051268516132,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,6100,30.0706783959247,1.25721376162074,-263.051268515377,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,6200,30.0706783958363,1.25721376161684,-263.051268514603,fk_theta_meas_command_echo_no_encoder,True
2026-06-06_run02_cross_pm30_on_r03,6300,30.0706783958723,1.25721376161844,-263.051268514918,fk_theta_meas_command_echo_no_encoder,True
