time,sim_x,sim_y,sim_z
0,0,0,-263.277315152675
109,-7.12231150753168e-16,2.66644748984891e-15,-263.277315151785
203,-1.32644884039351e-15,4.965952664581e-15,-263.277315151018
313,-2.04521422188754e-15,7.65686297543771e-15,-263.27731515012
406,-2.65289768078703e-15,9.93190532916201e-15,-263.27731514936
531,-3.46967652339387e-15,1.29897579551355e-14,-263.27731514834
609,-3.97934652118054e-15,1.4897857993743e-14,-263.277315147703
703,-4.45554623788627e-15,1.73096063764644e-14,-263.277315146976
813,-2.06325075405073e-15,2.2530588998556e-14,-263.277315146976
906,-4.06736631715936e-17,2.69446924881424e-14,-263.277315146976
1016,2.35162182066394e-15,3.21656751102339e-14,-263.277315146976
1125,4.72216916373734e-15,3.73391942539428e-14,-263.277315146976
1203,6.41852414318436e-15,4.10413455677895e-14,-263.277315146976
1313,8.8108196270199e-15,4.62623281898811e-14,-263.277315146976
1406,9.6108668537169e-15,4.97993586952075e-14,-263.277315146976
1516,-1.77535047597577e-15,4.51352974373195e-14,-263.277315146976
1609,-1.14018796728977e-14,4.11920456465597e-14,-263.277315146976
1703,-2.11319199364533e-14,3.72063932989099e-14,-263.277315146976
1828,-3.40708032656495e-14,3.19063236876735e-14,-263.277315146976
1906,-4.21446664630679e-14,2.8599080250262e-14,-263.277315146976
2031,-5.50835497922641e-14,2.32990106390257e-14,-263.277315146976
2109,-6.10295734509635e-14,2.20604600579022e-14,-263.277315146976
2203,-5.70972560205575e-14,3.13573984541784e-14,-263.277315146976
2313,-5.24956079636995e-14,4.22367944498207e-14,-263.277315146976
2406,-4.86051236974469e-14,5.14348292461365e-14,-263.277315146976
2516,-4.40034756405889e-14,6.23142252417788e-14,-263.277315146976
2609,-4.01129913743362e-14,7.15122600380946e-14,-263.277315146976
2703,-3.61806739439303e-14,8.08091984343708e-14,-263.277315146976
2813,-3.07023713149089e-14,8.92195410967795e-14,-263.277315146976
2906,-2.28387449818343e-14,8.72274218974459e-14,-263.277315146976
3016,-1.35376815771223e-14,8.48711518767288e-14,-263.277315146976
3109,-5.67405524404761e-15,8.28790326773952e-14,-263.277315146976
3203,2.27412621088808e-15,8.08654928415097e-14,-263.277315146976
3313,1.15751896156001e-14,7.85092228207925e-14,-263.277315146976
3406,1.94388159486748e-14,7.6517103621459e-14,-263.277315146976
3516,2.52293873657104e-14,7.33464619191327e-14,-263.277315146976
3609,2.0239637523435e-14,6.83725881375295e-14,-263.277315146976
3703,1.5196234457049e-14,6.33452318421456e-14,-263.277315146976
3813,9.29437980489521e-15,5.74621553262708e-14,-263.277315146976
3906,4.30462996261974e-15,5.24882815446677e-14,-263.277315146976
4016,-1.59722468953403e-15,4.66052050287929e-14,-263.277315146976
4125,-7.44542611757732e-15,4.07756110266989e-14,-263.277315146976
4203,-1.09875435374152e-14,3.70818262749138e-14,-263.277315146976
4313,-1.1937595200365e-14,3.48796773179942e-14,-263.277315146976
4406,-1.27408206972227e-14,3.30178604725986e-14,-263.277315146976
4516,-1.36908723601725e-14,3.0815711515679e-14,-263.277315146976
4609,-1.44940978570301e-14,2.89538946702833e-14,-263.277315146976
4703,-1.53059601871873e-14,2.70720582889156e-14,-263.277315146976
4813,-1.62560118501372e-14,2.4869909331996e-14,-263.277315146976
4906,0.00570016822227248,0.00600124040382456,-263.278160810151
5000,31.0489893269129,32.9298494901211,-264.054908777819
5109,39.3871455076574,41.8859162508806,-262.937876913331
5203,39.3888602295358,41.8877647314767,-262.937585447541
5313,39.3893110034757,41.8882506690669,-262.937508820886
5422,39.3895571505012,41.8885160173849,-262.937466978294
5516,39.3888730946723,41.88777860018,-262.937583260674
5609,39.3898187313719,41.8887980036695,-262.937422510639
5703,39.3890055494342,41.887921387359,-262.937560744978
5813,39.3890959720629,41.8880188636092,-262.937545374135
5906,39.3894302367855,41.8883792034743,-262.937488552251
6016,39.3889922008552,41.8879069975137,-262.937563013914
6109,39.3896117423176,41.8885748678171,-262.937457697792
6203,39.3890637236532,41.8879840995778,-262.937550856111
6313,39.3890068555832,41.8879227953874,-262.937560523037
6406,39.3895293684666,41.8884860681556,-262.937471700893
6516,39.3890799151915,41.8880015542095,-262.937548103409
6609,39.3894638463365,41.8884154347696,-262.93748283938
6703,39.3891068421757,41.8880305816474,-262.937543526516
6813,39.388966969201,41.887879797586,-262.937567303187
6906,39.3896105002529,41.8885735288128,-262.93745790932
