time,sim_x,sim_y,sim_z
16,0,0,-263.277315152675
125,4.55324039151085e-15,8.7391774465626e-15,-263.277315151636
219,8.47988806859361e-15,1.62757157949744e-14,-263.27731515074
344,1.37014940221611e-14,2.62977082795645e-14,-263.277315149549
422,1.69597761371872e-14,3.25514315899488e-14,-263.277315148806
531,2.15130165286981e-14,4.12906090365114e-14,-263.277315147768
625,2.41673971472637e-14,4.74271131421015e-14,-263.277315146976
719,1.71020316349519e-14,4.28677674073112e-14,-263.277315146976
828,8.90921417918614e-15,3.75808665020758e-14,-263.277315146976
922,1.84384866687438e-15,3.30215207672855e-14,-263.277315146976
1031,-6.34896878889138e-15,2.77346198620501e-14,-263.277315146976
1125,-1.34143343012032e-14,2.31752741272598e-14,-263.277315146976
1219,-1.97718890453946e-14,1.96869965315135e-14,-263.277315146976
1328,-1.65517813938957e-14,3.16702771581982e-14,-263.277315146976
1422,-1.37748078228783e-14,4.2004482469284e-14,-263.277315146976
1531,-1.05547001713793e-14,5.39877630959687e-14,-263.277315146976
1625,-7.77772660036191e-15,6.43219684070546e-14,-263.277315146976
1719,-5.00075302934447e-15,7.46561737181405e-14,-263.277315146976
1844,-2.58551390414324e-15,8.34181571053894e-14,-263.277315146976
1922,-3.24341943674766e-15,8.04456599553674e-14,-263.277315146976
2031,-4.16280024513078e-15,7.62917857329008e-14,-263.277315146976
2125,-4.95566075878227e-15,7.27095455777462e-14,-263.277315146976
2219,-5.74852127243375e-15,6.91273054225915e-14,-263.277315146976
2328,-6.66790208081686e-15,6.49734312001249e-14,-263.277315146976
2422,-8.04260945294175e-15,6.27443282076014e-14,-263.277315146976
2531,-1.36529153777153e-14,6.94996219383005e-14,-263.277315146976
2625,-1.84911608541255e-14,7.53252880913804e-14,-263.277315146976
2719,-2.33294063305357e-14,8.11509542444604e-14,-263.277315146976
2828,-2.89397122553092e-14,8.79062479751595e-14,-263.277315146976
2922,-3.37779577317195e-14,9.37319141282394e-14,-263.277315146976
3031,-3.6466435024079e-14,9.68166608141905e-14,-263.277315146976
3125,-3.00484554411897e-14,8.85016949096348e-14,-263.277315146976
3219,-2.36304758583004e-14,8.0186729005079e-14,-263.277315146976
3328,-1.61883505972904e-14,7.0544906839158e-14,-263.277315146976
