time,sim_x,sim_y,sim_z
15,0,0,-263.277315152675
125,-2.21856942888639e-15,-5.07630542855055e-16,-263.277315152104
219,-4.11443784993476e-15,-9.41423915840284e-16,-263.277315151616
328,-6.31283846583127e-15,-1.44443963557847e-15,-263.277315151051
422,-8.20870688687964e-15,-1.8782330085637e-15,-263.277315150563
531,-1.04071075027762e-14,-2.38124872830189e-15,-263.277315149998
625,-1.23029759238245e-14,-2.81504210128712e-15,-263.27731514951
719,-1.41988443448729e-14,-3.24883547427235e-15,-263.277315149022
828,-1.63972449607694e-14,-3.75185119401054e-15,-263.277315148457
922,-1.82931133818178e-14,-4.18564456699577e-15,-263.277315147969
1031,-2.04915139977143e-14,-4.68866028673396e-15,-263.277315147403
1125,-2.24225007999159e-14,-4.49875602942985e-15,-263.277315146976
1219,-2.46039339120026e-14,1.39040324851106e-16,-263.277315146976
1328,-2.71334680526139e-14,5.5169105654535e-15,-263.277315146976
1422,-2.93149011647006e-14,1.01547069197345e-14,-263.277315146976
1547,-3.22157430690713e-14,1.63219893057464e-14,-263.277315146976
1625,-3.40258684173986e-14,2.01703735146178e-14,-263.277315146976
1719,-3.62073015294853e-14,2.48081698688988e-14,-263.277315146976
1828,-3.87368356700965e-14,3.01860401095012e-14,-263.277315146976
1922,-4.09182687821833e-14,3.48238364637821e-14,-263.277315146976
2031,-4.34478029227945e-14,4.02017067043845e-14,-263.277315146976
2125,-4.56292360348812e-14,4.48395030586655e-14,-263.277315146976
2219,-4.74531611065088e-14,4.91947777390008e-14,-263.277315146976
2328,-4.45096086726756e-14,5.02475268475712e-14,-263.277315146976
2422,-4.1971132261847e-14,5.11554022256044e-14,-263.277315146976
2531,-3.90275798280138e-14,5.22081513341747e-14,-263.277315146976
2625,-3.64891034171852e-14,5.31160267122079e-14,-263.277315146976
2719,-3.39506270063566e-14,5.40239020902411e-14,-263.277315146976
2828,-3.10070745725234e-14,5.50766511988114e-14,-263.277315146976
2922,-2.84685981616948e-14,5.59845265768446e-14,-263.277315146976
3031,-2.55250457278616e-14,5.7037275685415e-14,-263.277315146976
3125,-2.2986569317033e-14,5.79451510634481e-14,-263.277315146976
3219,-2.04480929062044e-14,5.88530264414813e-14,-263.277315146976
3328,-1.76892166885644e-14,5.90881211763616e-14,-263.277315146976
3422,-1.61326160878129e-14,5.5648739137717e-14,-263.277315146976
3531,-1.43276217741755e-14,5.16605195397142e-14,-263.277315146976
3625,-1.2771021173424e-14,4.82211375010696e-14,-263.277315146976
3734,-1.09660268597866e-14,4.42329179030668e-14,-263.277315146976
3828,-9.40942625903514e-15,4.07935358644222e-14,-263.277315146976
3922,-7.85282565828363e-15,3.73541538257776e-14,-263.277315146976
4031,-6.04783134464625e-15,3.33659342277748e-14,-263.277315146976
4125,-4.49123074389474e-15,2.99265521891302e-14,-263.277315146976
4219,-2.93463014314324e-15,2.64871701504856e-14,-263.277315146976
4328,-1.12963582950585e-15,2.24989505524828e-14,-263.277315146976
4422,3.44927352924558e-16,2.7457064556294e-14,-263.277315146976
4531,-6.76999961585757e-15,8.02404758683772e-14,-263.277315146976
4625,-6.83149221885453e-14,4.26798665056017e-14,-263.277315146976
4719,-6.0672489387864e-15,1.09013920398116e-15,-263.277315146976
4828,-8.15729462248632e-15,1.43458709561658e-15,-263.277315146976
4922,-0.0225626467774431,-0.0222215834171769,-263.280659455454
5015,-31.3849739845829,-30.7140593955469,-264.340491127774
5125,-40.1596557092371,-39.2100389976333,-263.401717826951
5234,-40.1613201724089,-39.2116456130569,-263.401486344232
5328,-40.1617620251766,-39.2120721090686,-263.401424890747
5422,-40.1613843723372,-39.2117075817013,-263.401477415302
5531,-40.1617102451213,-39.2120221286538,-263.401432092441
5625,-40.1614844455843,-39.211804176872,-263.401463497039
5719,-40.1616399316407,-39.2119542589426,-263.401441871715
5828,-40.1617098069584,-39.2120217057197,-263.401432153377
5922,-40.1614027943141,-39.2117253634151,-263.401474853137
6031,-40.1619974034282,-39.2122993066105,-263.401392153464
6125,-40.1613112978616,-39.211637046947,-263.401487578499
6219,-40.1620585080641,-39.2123582875071,-263.401383654673
6328,-40.1613694738176,-39.2116932009802,-263.401479487342
6422,-40.1619975403104,-39.212299438736,-263.401392134418
6531,-40.1615643431818,-39.2118812975815,-263.401452384574
6625,-40.1616134127777,-39.2119286617601,-263.401445560052
6719,-40.1616096099865,-39.2119249911429,-263.401446089012
6844,-40.1612575534215,-39.2115851704055,-263.40149505325
6922,-40.162042989915,-39.2123433087088,-263.40138581306
7031,-40.1612709114293,-39.2115980641539,-263.401493195431
7125,-40.1624234130126,-39.2127105098784,-263.401332901416
7219,-40.16127246115,-39.2115995600119,-263.401492979881
7328,-40.1622619988367,-39.2125547057497,-263.401355351534
7422,-40.161404460419,-39.2117269716039,-263.401474621305
7531,-40.1617043192415,-39.2120164086895,-263.401432916194
7625,-40.1617018999612,-39.2120140734809,-263.401433252566
7719,-40.1615418954472,-39.2118596300353,-263.401455506755
7828,-40.1615738046571,-39.2118904302331,-263.401451068835
7922,-40.1615761152274,-39.2118926604886,-263.401450747385
8031,-40.1614178825756,-39.2117399272742,-263.401472754626
8125,-40.1618370993717,-39.212144573993,-263.401414448976
8219,-40.1613653079501,-39.211689179898,-263.401480066765
8328,-40.1620693008869,-39.2123687052078,-263.401382153575
8437,-40.1613230562155,-39.2116483966319,-263.401485943131
