time,sim_x,sim_y,sim_z
15,0,0,-263.277315152675
140,-8.50065977297293e-16,3.09092456909413e-15,-263.277315151655
218,-1.3805071471308e-15,5.01966150020887e-15,-263.277315151018
328,-2.12856520715242e-15,7.73967512101171e-15,-263.277315150121
421,-2.76101429426161e-15,1.00393230004177e-14,-263.277315149362
531,-3.50907235428323e-15,1.27593366212206e-14,-263.277315148464
625,-4.14832196921079e-15,1.50837118971794e-14,-263.277315147697
718,-4.67814049922593e-15,1.74859801845217e-14,-263.277315146976
828,-2.95046143636494e-15,2.26814861020345e-14,-263.277315146976
921,-1.48978731958246e-15,2.70740501959317e-14,-263.277315146976
1046,4.7348434275957e-16,3.29780341931054e-14,-263.277315146976
1125,1.71427203335974e-15,3.67093520793192e-14,-263.277315146976
1218,3.17494615014222e-15,4.11019161732164e-14,-263.277315146976
1328,4.9026252130032e-15,4.62974220907292e-14,-263.277315146976
1421,5.63043855056558e-15,5.04699604228032e-14,-263.277315146976
1531,-1.48121196050004e-15,5.3011646844642e-14,-263.277315146976
1625,-7.55844057904703e-15,5.51836334233042e-14,-263.277315146976
1718,-1.35710178293116e-14,5.73325137617679e-14,-263.277315146976
1828,-2.06826683403772e-14,5.98742001836067e-14,-263.277315146976
1921,-2.66952455906418e-14,6.20230805220704e-14,-263.277315146976
2031,-3.38068961017074e-14,6.45647669439092e-14,-263.277315146976
2125,-3.81344267518569e-14,6.5720584953138e-14,-263.277315146976
2218,-3.30624051560065e-14,6.14318851173982e-14,-263.277315146976
2328,-2.70632398275813e-14,5.63592293977059e-14,-263.277315146976
2421,-2.19912182317309e-14,5.20705295619661e-14,-263.277315146976
2531,-1.59920529033057e-14,4.69978738422739e-14,-263.277315146976
2625,-1.08654934408333e-14,4.26630589545369e-14,-263.277315146976
2718,-5.79347184498292e-15,3.8374359118797e-14,-263.277315146976
2859,-1.82493681448419e-15,3.65228709019847e-14,-263.277315146976
2921,-3.03596285220977e-15,3.94030990459365e-14,-263.277315146976
3046,-5.47754760568874e-15,4.52100106264843e-14,-263.277315146976
3125,-7.02062916988744e-15,4.88799787453904e-14,-263.277315146976
3218,-8.8371682264758e-15,5.3200320961318e-14,-263.277315146976
3328,-1.09857628095373e-14,5.83104031522001e-14,-263.277315146976
3421,-1.28023018661257e-14,6.26307453681276e-14,-263.277315146976
3531,-1.42793771189477e-14,6.66378061650265e-14,-263.277315146976
3625,-1.34632296500973e-14,6.66481326217321e-14,-263.277315146976
3718,-1.26557646011282e-14,6.66583492225153e-14,-263.277315146976
3843,-1.15704621159548e-14,6.66720812128153e-14,-263.277315146976
3921,-1.08932333652065e-14,6.66806499747626e-14,-263.277315146976
4031,-9.93816717825387e-15,6.66927341262266e-14,-263.277315146976
4125,-9.12201970940342e-15,6.67030605829322e-14,-263.277315146976
4218,-8.40745107278788e-15,6.53880254648358e-14,-263.277315146976
4328,-8.27913289221757e-15,5.36057982023241e-14,-263.277315146976
4437,-8.15198124056154e-15,4.19306820967442e-14,-263.277315146976
4531,-8.04232752261963e-15,3.18622333451432e-14,-263.277315146976
4625,-7.93267380467773e-15,2.17937845935422e-14,-263.277315146976
4718,-7.8241866156501e-15,1.18324469988731e-14,-263.277315146976
4828,-7.69586843507979e-15,5.0219736361351e-17,-263.277315146976
4921,0.00951489766996015,0.0100174682915038,-263.27872650293
5015,31.0341450774835,32.9142185186664,-264.053812589617
5125,39.3867677423724,41.8855090187534,-262.937941115252
5218,39.3889756340594,41.8878891383616,-262.937565830314
5328,39.3891070963592,41.8880308556556,-262.937543483356
5437,39.389237916442,41.8881718806551,-262.937521245391
5531,39.3890572860889,41.8879771598273,-262.937551950509
5625,39.3892978299988,41.8882364679091,-262.93751106071
5718,39.3890279782678,41.8879455657867,-262.93755693248
5828,39.3892950433174,41.8882334638478,-262.937511534399
5921,39.3890609557098,41.8879811157061,-262.937551326702
6031,39.3891894123149,41.8881195928558,-262.937529490531
6125,39.3891751930548,41.8881042643905,-262.937531907641
6218,39.3891453174635,41.8880720582833,-262.937536986184
6328,39.389326475935,41.8882673484435,-262.937506191132
6421,39.3890192479745,41.8879361544676,-262.937558416513
6531,39.3894274087957,41.8883761548126,-262.93748903354
6625,39.3889829408935,41.8878970151754,-262.937564588267
6718,39.3894611578411,41.8884125365405,-262.937483296466
6828,39.3890629513128,41.8879832669784,-262.937550987466
6921,39.3893211019911,41.8882615553015,-262.937507104549
7031,39.3892712219256,41.8882077842133,-262.937515583746
7125,39.3890585464522,41.8879785185161,-262.937551736161
7218,39.3893659615442,41.8883099142437,-262.937499478761
7328,39.3888882074933,41.8877948919053,-262.937580691695
7421,39.389629078441,41.8885935562382,-262.937454751192
7531,39.3889024206598,41.8878102138011,-262.937578275621
7625,39.3896797528068,41.8886481835801,-262.937446137038
7718,39.3889275912242,41.887837347843,-262.937573996985
7843,39.3891116407471,41.8880357545577,-262.937542710661
7921,39.3891296836719,41.8880552049457,-262.937539643701
8031,39.3889810772073,41.8878950061107,-262.937564905041
8125,39.3895617878962,41.8885210165156,-262.937466190034
8234,39.3888403564765,41.887743308174,-262.937588825715
8328,39.390099243228,41.8891003975931,-262.937374825609
8421,39.3887984740356,41.8876981586133,-262.937595945131
8531,39.3901775916936,41.8891848578863,-262.937361506477
8625,39.3888962924218,41.8878036075243,-262.937579317235
8718,39.3899418035203,41.8889306763122,-262.937401589704
8828,39.389155026555,41.8880825248095,-262.937535335146
8921,39.3893173693007,41.8882575314166,-262.937507739094
9031,39.3895891127222,41.8885504729761,-262.937461544107
9125,39.3889024571484,41.8878102531297,-262.937578269419
9218,39.3897858972413,41.88876260814,-262.937428092675
9328,39.3891112614218,41.8880353456789,-262.93754277473
9421,39.3888093625957,41.8877098965544,-262.937594094229
9531,39.3901382638637,41.8891424622086,-262.937368191648
9625,39.3889148388774,41.8878236007321,-262.93757616459
9718,39.3900348168193,41.8890309453766,-262.937385778007
9843,39.3894996398665,41.8884540204944,-262.937476754377
9921,39.3774723912712,41.8877503830663,-262.93931759538
10015,-22.6971410076712,42.1550358862549,-264.92081861313
10125,-39.3863179599666,41.8874830088743,-262.937976859682
10218,-39.389038675962,41.8874271767204,-262.937563890809
10328,-39.3904323304032,41.8873985757634,-262.937352340712
10421,-39.3889513761126,41.8874289682747,-262.937577142238
10531,-39.3906966050068,41.8873931521556,-262.937312224417
10625,-39.3890601724397,41.8874267355696,-262.93756062779
10718,-39.3907519740767,41.8873920157091,-262.937303818577
10828,-39.3894892319184,41.8874179303967,-262.937495499356
10921,-39.3896996522163,41.8874136120195,-262.937463558012
11031,-39.3903466268697,41.8874003346033,-262.937365350149
11125,-39.3889970955487,41.8874280300286,-262.937570202391
11218,-39.3890111410085,41.8874277417822,-262.937568070343
11328,-39.3910325522728,41.887386257539,-262.937261227586
11421,-39.3889189266473,41.8874296341982,-262.937582067802
11531,-39.3907428251909,41.8873922036241,-262.9373052084
11640,-39.3895717485804,41.8874162369095,-262.937482973247
11718,-39.3889462203451,41.8874290740795,-262.937577924813
11828,-39.3912192698232,41.8873824255724,-262.937232883934
