time,sim_x,sim_y,sim_z
0,0,0,-263.277315152675
110,4.59352247324569e-15,8.82154709514537e-15,-263.277315151627
204,8.51889622311019e-15,1.63599600673605e-14,-263.277315150731
313,1.30706594011446e-14,2.51013112798227e-14,-263.277315149692
407,1.6996033151009e-14,3.26397242520379e-14,-263.277315148797
516,2.15477963290434e-14,4.13810754645001e-14,-263.277315147758
610,2.40242536965161e-14,4.72685772151422e-14,-263.277315146976
704,1.64658045167997e-14,4.1722196357014e-14,-263.277315146976
813,7.70121982968165e-15,3.52907547236526e-14,-263.277315146976
907,1.427706499652e-16,2.97443738655245e-14,-263.277315146976
1016,-8.62181403715281e-15,2.33129322321631e-14,-263.277315146976
1110,-1.61802632168693e-14,1.7766551374035e-14,-263.277315146976
1204,-2.25502980597005e-14,1.32564578304925e-14,-263.277315146976
1313,-1.4535457523957e-14,2.14565339807891e-14,-263.277315146976
1407,-7.62357669496729e-15,2.85281592847145e-14,-263.277315146976
1516,3.91263840776133e-16,3.67282354350111e-14,-263.277315146976
1610,7.30314466976588e-15,4.37998607389366e-14,-263.277315146976
1704,1.42150254987556e-14,5.08714860428621e-14,-263.277315146976
1829,1.87134652244044e-14,5.53209917795264e-14,-263.277315146976
1907,1.38633869086244e-14,5.00139332112695e-14,-263.277315146976
2016,7.08571336477799e-15,4.25976590581924e-14,-263.277315146976
2110,1.24074718935083e-15,3.62019730913187e-14,-263.277315146976
2204,-4.60421898607635e-15,2.98062871244449e-14,-263.277315146976
2313,-1.13818925299227e-14,2.23900129713679e-14,-263.277315146976
2407,-1.7072358872071e-14,1.66855883478627e-14,-263.277315146976
2516,-2.26837940622191e-14,1.44872841689665e-14,-263.277315146976
2610,-2.7523013400512e-14,1.25914989137716e-14,-263.277315146976
2704,-3.23622327388048e-14,1.06957136585767e-14,-263.277315146976
2813,-3.7973667928953e-14,8.49740947968057e-15,-263.277315146976
2907,-4.28128872672458e-14,6.60162422448571e-15,-263.277315146976
3016,-4.33574963880317e-14,6.47870709142367e-15,-263.277315146976
3110,-2.93713540456903e-14,1.22938460381421e-14,-263.277315146976
3204,-1.53852117033489e-14,1.81089849848606e-14,-263.277315146976
3313,8.32761863834274e-16,2.48520716358427e-14,-263.277315146976
3407,1.48189042061757e-14,3.06672105825611e-14,-263.277315146976
3516,3.10368777733588e-14,3.74102972335432e-14,-263.277315146976
3610,4.02596179245591e-14,4.25854982097783e-14,-263.277315146976
3704,3.3085088907389e-14,4.55578125239148e-14,-263.277315146976
3813,2.47656882385428e-14,4.90044323137113e-14,-263.277315146976
3907,1.75911592213728e-14,5.19767466278478e-14,-263.277315146976
4016,9.27175855252664e-15,5.54233664176443e-14,-263.277315146976
4110,2.09722953535655e-15,5.83956807317808e-14,-263.277315146976
4204,-4.70532175423885e-15,6.10989543314781e-14,-263.277315146976
4313,-1.06424913828009e-14,6.28225754212821e-14,-263.277315146976
4407,-1.5762619319359e-14,6.4309000948269e-14,-263.277315146976
4516,-2.1699788947921e-14,6.6032622038073e-14,-263.277315146976
4610,-2.68199168844791e-14,6.751904756506e-14,-263.277315146976
4704,-3.19400448210371e-14,6.90054730920469e-14,-263.277315146976
4813,-3.57324422423974e-14,6.98527254251597e-14,-263.277315146976
4907,-3.36212722063242e-14,6.83843925902753e-14,-263.277315146976
5016,-3.11732133347073e-14,6.66817513242923e-14,-263.277315146976
5110,-2.9062043298634e-14,6.52134184894078e-14,-263.277315146976
5204,-2.69508732625608e-14,6.37450856545234e-14,-263.277315146976
5313,-2.45028143909439e-14,6.20424443885404e-14,-263.277315146976
5407,-2.39549098889104e-14,6.08426006865891e-14,-263.277315146976
5516,-2.86844391895907e-14,6.03727022803244e-14,-263.277315146976
5610,-3.27631158342141e-14,5.99674687923531e-14,-263.277315146976
5704,-3.68417924788375e-14,5.95622353043817e-14,-263.277315146976
5813,-4.15713217795178e-14,5.9092336898117e-14,-263.277315146976
5907,-4.56499984241412e-14,5.86871034101457e-14,-263.277315146976
6016,-4.51604884798539e-14,5.68212729395176e-14,-263.277315146976
6110,-3.50602723780337e-14,5.26236228605014e-14,-263.277315146976
6204,-2.49600562762136e-14,4.84259727814852e-14,-263.277315146976
6313,-1.32481035624008e-14,4.35584849239025e-14,-263.277315146976
6407,-3.14788746058057e-15,3.93608348448862e-14,-263.277315146976
6516,8.56406525323221e-15,3.44933469873035e-14,-263.277315146976
6610,1.43916555737978e-14,3.15501873629428e-14,-263.277315146976
6704,1.13064867958436e-14,3.12239129483265e-14,-263.277315146976
6813,7.72900385119463e-15,3.08455734675479e-14,-263.277315146976
6907,4.64383507324043e-15,3.05192990529315e-14,-263.277315146976
7016,1.06635212859142e-15,3.0140959572153e-14,-263.277315146976
7110,-2.01881664936278e-15,2.98146851575366e-14,-263.277315146976
7204,-4.71332221899458e-15,2.77427010526901e-14,-263.277315146976
7313,-6.67293701367633e-15,2.01347887666272e-14,-263.277315146976
7407,-8.36288004762207e-15,1.35738368869032e-14,-263.277315146976
7516,-1.03224948423038e-14,5.96592460084027e-15,-263.277315146976
7610,-1.20124378762496e-14,-5.95027278883738e-16,-263.277315146976
7704,-1.37023809101953e-14,-7.15597915860769e-15,-263.277315146976
7813,-1.73094533693459e-14,-1.0579821890985e-14,-263.277315146976
7907,-2.31645663995281e-14,-6.56243762099295e-15,-263.277315146976
8016,-2.99540059770798e-14,-1.90398139302344e-15,-263.277315146976
8110,-3.58091190072619e-14,2.11340287696859e-15,-263.277315146976
8204,-4.16642320374442e-14,6.1307871469607e-15,-263.277315146976
8313,-4.84536716149959e-14,1.07892433749302e-14,-263.277315146976
8407,-4.83691524551115e-14,1.59084482928761e-14,-263.277315146976
8516,-3.55635584758456e-14,2.42018455204513e-14,-263.277315146976
8610,-2.45202022001484e-14,3.13539495515712e-14,-263.277315146976
