time,sim_x,sim_y,sim_z
0,0,0,-263.277315152675
100,-1.20749884116515e-15,1.22470012661965e-15,-263.27731515204
200,-2.4149976823303e-15,2.4494002532393e-15,-263.277315151405
300,-3.62249652349545e-15,3.67410037985894e-15,-263.277315150771
400,-4.82999536466061e-15,4.89880050647859e-15,-263.277315150136
500,-6.03749420582576e-15,6.12350063309824e-15,-263.277315149502
600,-7.24499304699091e-15,7.34820075971789e-15,-263.277315148867
700,-8.45249188815606e-15,8.57290088633753e-15,-263.277315148232
800,-9.65999072932121e-15,9.79760101295719e-15,-263.277315147598
900,-1.09712806137446e-14,1.10329782537257e-14,-263.277315146976
1000,-1.7368331617824e-14,1.27915340877886e-14,-263.277315146976
1100,-2.37653826219034e-14,1.45500899218514e-14,-263.277315146976
1200,-3.01624336259828e-14,1.63086457559143e-14,-263.277315146976
1300,-3.65594846300622e-14,1.80672015899771e-14,-263.277315146976
1400,-4.29565356341415e-14,1.982575742404e-14,-263.277315146976
1500,-4.93535866382209e-14,2.15843132581029e-14,-263.277315146976
1600,-5.57506376423003e-14,2.33428690921657e-14,-263.277315146976
1700,-6.21476886463797e-14,2.51014249262286e-14,-263.277315146976
1800,-6.802536750165e-14,2.66725925683365e-14,-263.277315146976
1900,-6.14381147855033e-14,2.3746443603526e-14,-263.277315146976
2000,-5.48508620693567e-14,2.08202946387154e-14,-263.277315146976
2100,-4.826360935321e-14,1.78941456739049e-14,-263.277315146976
2200,-4.16763566370633e-14,1.49679967090944e-14,-263.277315146976
2300,-3.50891039209167e-14,1.20418477442838e-14,-263.277315146976
2400,-2.850185120477e-14,9.11569877947331e-15,-263.277315146976
2500,-2.19145984886233e-14,6.18954981466278e-15,-263.277315146976
2600,-1.53273457724767e-14,3.26340084985224e-15,-263.277315146976
2700,-8.9109397034313e-15,9.18347532914015e-16,-263.277315146976
2800,-5.17113110563981e-15,7.67712603264155e-15,-263.277315146976
2900,-1.4313225078483e-15,1.44359045323691e-14,-263.277315146976
3000,2.3084860899432e-15,2.11946830320967e-14,-263.277315146976
3100,6.04829468773471e-15,2.79534615318242e-14,-263.277315146976
3200,9.78810328552622e-15,3.47122400315518e-14,-263.277315146976
3300,1.35279118833177e-14,4.14710185312793e-14,-263.277315146976
3400,1.72677204811092e-14,4.82297970310069e-14,-263.277315146976
3500,2.10075290789007e-14,5.49885755307345e-14,-263.277315146976
3600,2.38861411704969e-14,6.14785669333014e-14,-263.277315146976
3700,1.68609934408471e-14,6.48775067185204e-14,-263.277315146976
3800,9.83584571119734e-15,6.82764465037393e-14,-263.277315146976
3900,2.81069798154754e-15,7.16753862889583e-14,-263.277315146976
4000,-4.21444974810227e-15,7.50743260741774e-14,-263.277315146976
4100,-1.1239597477752e-14,7.84732658593963e-14,-263.277315146976
4200,-1.82647452074019e-14,8.18722056446154e-14,-263.277315146976
4300,-2.52898929370517e-14,8.52711454298343e-14,-263.277315146976
4400,-3.23150406667015e-14,8.86700852150534e-14,-263.277315146976
4500,-3.69638302361966e-14,8.30930067607036e-14,-263.277315146976
4600,-2.40857321081437e-14,1.38475212036393e-14,-263.277315146976
4700,-2.63250411061783e-14,1.28308002613772e-14,-263.277315146976
4800,-2.81969636976508e-14,1.31955425701348e-14,-263.277315146976
4900,0.00236065735308878,0.000104839304918317,-263.277429663307
5000,24.0492994210031,1.01904272032071,-263.365913416825
5100,30.0685951805239,1.25713268256533,-263.051401176445
5200,30.0714210683513,1.25724266630604,-263.051221216085
5300,30.071791793431,1.25725709481328,-263.051197604858
5400,30.0712120513095,1.25723453141074,-263.051234527959
5500,30.072200989357,1.25727302057524,-263.051171543118
5600,30.0711367840376,1.25723160202444,-263.051239321558
5700,30.0722629124963,1.25727543060277,-263.051167599246
5800,30.0712471686872,1.25723589817319,-263.051232291448
5900,30.0718716335436,1.25726020216442,-263.051192519872
6000,30.071576243388,1.25724870567966,-263.051211333248
6100,30.07131699277,1.25723861571167,-263.051227844515
6200,30.0721719877803,1.2572718918419,-263.051173390213
6300,30.0710860008944,1.25722962555327,-263.051242555788
6400,30.0728485238203,1.2572982222971,-263.05113029996
6500,30.0710639435964,1.25722876708575,-263.051243960529
6600,30.0730295838762,1.25730526906484,-263.051118767764
6700,30.0712126863495,1.25723455611851,-263.051234487384
6800,30.0723485193939,1.25727876237975,-263.051162146699
6900,30.0715389622348,1.2572472546779,-263.051213707114
7000,30.0715358931553,1.25724713525438,-263.051213903001
7100,30.0720487432127,1.2572670951835,-263.051181239227
7200,30.0711303708198,1.25723135242216,-263.05123972997
7300,30.0727832912934,1.25729568349812,-263.051134455025
7400,30.0710192540263,1.25722702777718,-263.051246806684
7500,30.0712878845544,1.25723748282662,-263.051229698323
7600,30.0721406722048,1.25727067306272,-263.051175384818
7700,30.0711499249051,1.25723211346618,-263.051238484653
7800,30.0724467574757,1.25728258577328,-263.051155889805
7900,30.0711847275409,1.25723346797728,-263.051236268145
8000,30.072339833008,1.25727842430006,-263.05116269965
8100,30.0714041699714,1.25724200862212,-263.051222292205
8200,30.0717996825199,1.2572574018461,-263.051197102181
8300,30.0718266392004,1.25725845098316,-263.051195385169
8400,30.0712989136526,1.25723791207092,-263.051228995782
8500,30.0723624591545,1.25727930487891,-263.051161258165
8600,30.0710700795324,1.25722900589736,-263.051243569748
8700,30.0727976352143,1.25729624176105,-263.051133541394
8800,30.0710529838906,1.25722834053901,-263.051244658537
8900,30.0728683506712,1.25729899394698,-263.051129036891
9000,30.0712144900435,1.25723462632782,-263.051234372632
9100,30.0722933514603,1.25727661521737,-263.051165659385
9200,30.0716168927085,1.25725028773051,-263.051208744079
9300,30.0712283205967,1.25723516461225,-263.051233491828
9400,30.0720493026984,1.25726711698566,-263.051181203956
9500,30.0714844163542,1.25724513179771,-263.051217181527
9600,30.0715568846224,1.25724795223184,-263.051212565911
9700,30.0719640808596,1.25726380018049,-263.051186631731
9800,30.0711624064403,1.25723259924275,-263.051237689671
9900,30.0710122849343,1.25722675653969,-263.051247250501
10000,5.99960192373991,0.263588998981504,-263.501193451938
10100,0.00339815967609714,0.000150916113182304,-263.277479998347
10200,-0.00131080003242057,-5.82148115794095e-05,-263.277251540686
10300,-0.000465449455872076,-2.0671353561148e-05,-263.2772925619
10400,-0.00158016605431992,-7.01778349942777e-05,-263.277238469039
10500,-0.000664379352271457,-2.9506162825806e-05,-263.277282908835
10600,-0.00109002820921681,-4.8409952450312e-05,-263.27726225395
10700,-0.00103728540388563,-4.60675618570702e-05,-263.277264813159
10800,-0.000631330186302322,-2.80383924064527e-05,-263.277284512588
10900,-0.00152960950740056,-6.79325401735645e-05,-263.277240922152
11000,-0.000421308179209251,-1.87109672659056e-05,-263.277294703815
11100,-0.00195151556353592,-8.6670144673036e-05,-263.27722044795
11200,-0.000422525924946996,-1.87650491409582e-05,-263.27729464473
11300,-0.00194824013817211,-8.65246999488591e-05,-263.27722060635
11400,-0.00062095950562648,-2.75778131204672e-05,-263.277285015825
11500,-0.00133799697895183,-5.94227052701402e-05,-263.277250220191
11600,-0.00107083462958089,-4.75575424491066e-05,-263.277263185102
11700,-0.000675959190580552,-3.00204493685897e-05,-263.277282346768
11800,-0.00173063778967846,-7.68606021150579e-05,-263.277231165824
11900,-0.000361917505302538,-1.6073332585872e-05,-263.277297585641
12000,-0.000936278105957435,-4.15816484597971e-05,-263.277269714784
12100,-0.00119743569013586,-5.31801128738714e-05,-263.277257041657
12200,-0.000529390574515533,-2.35110880904414e-05,-263.2772894591
12300,-0.00187114922933572,-8.31009636427004e-05,-263.277224347188
12400,-0.000316468426784084,-1.40548640907386e-05,-263.277299791027
12500,-0.0023354692838603,-0.000103722276019334,-263.277201814098
12600,-0.000336215688164875,-1.49318722775458e-05,-263.277298832809
12700,-0.00220735496362165,-9.8032456961959e-05,-263.277208031989
12800,-0.000478794315739013,-2.12640204753262e-05,-263.277291914355
12900,-0.000325552443085248,-1.44582998532129e-05,-263.277299350239
13000,-0.000756602324822315,-3.36019353365221e-05,-263.277278433815
13100,-0.00135232571603136,-6.00590431072494e-05,-263.277249525501
13200,-0.000423810684839918,-1.88221073042337e-05,-263.277294582392
13300,-0.00209598500414083,-9.30863239569678e-05,-263.277213436378
13400,-0.000344260634417472,-1.52891610354152e-05,-263.277298442447
13500,-0.00250362461312735,-0.000111190370352268,-263.277193653526
13600,-0.000427104005391226,-1.89683724870686e-05,-263.277294422503
13700,-0.00210707314087963,-9.35787492488688e-05,-263.277212898743
13800,-0.000661763715876282,-2.9390007108478e-05,-263.277283035542
13900,-0.000351255285911546,-1.55998047927031e-05,-263.277298103042
14000,-0.00263968661107863,-0.000117233146288913,-263.27718705028
14100,-0.000448542602999619,-1.99204958047995e-05,-263.277293382211
14200,-0.00218179589329887,-9.68973269455565e-05,-263.277209272455
14300,-0.000712841971527901,-3.16584808694975e-05,-263.2772805569
14400,-0.00037495855296255,-1.66525052545591e-05,-263.277296952873
14500,-0.00256939815206957,-0.000114111493481737,-263.277190461621
14600,-0.000497141758818988,-2.20788643576655e-05,-263.27729102397
14700,-0.00193756571410899,-8.60506206294022e-05,-263.277221124574
14800,-0.000801635235013773,-3.56019413953992e-05,-263.277276248132
14900,-0.0121151792914701,0.00053028692331348,-263.277894106505
15000,-24.0448313516937,1.01882491757295,-263.365380172755
15100,-30.0682427191393,1.25711896397634,-263.051423608578
15200,-30.0708187010653,1.25721922228146,-263.051259579152
15300,-30.0711029983285,1.25723028708448,-263.051241473162
15400,-30.0719811213209,1.25726446337269,-263.051185546261
15500,-30.0717664788891,1.25725610954801,-263.051199216573
15600,-30.0710722167827,1.25722908907793,-263.051243433648
15700,-30.0710914319656,1.25722983692722,-263.051242209849
15800,-30.0727567045092,1.25729464872511,-263.051136147961
15900,-30.0710147405054,1.25722685211086,-263.051247094134
16000,-30.072883603049,1.25729958757628,-263.051128065856
16100,-30.0711274863982,1.25723124016192,-263.051239913695
16200,-30.0710146669302,1.25722684924714,-263.051247098816
16300,-30.0729289997043,1.25730135436495,-263.051125173941
16400,-30.0710262064018,1.25722729836097,-263.051246363891
16500,-30.0728425590754,1.25729799016934,-263.051130680108
16600,-30.0711822991783,1.25723337346102,-263.051236422742
16700,-30.0710259006103,1.25722728646053,-263.051246383381
16800,-30.0730492527132,1.25730603455212,-263.051117514679
16900,-30.0710832897242,1.25722952003218,-263.051242728392
17000,-30.0727953209662,1.25729615168899,-263.051133688879
17100,-30.0712935586979,1.25723770364851,-263.051229336708
17200,-30.0710421043797,1.25722791710857,-263.051245351413
17300,-30.0731609192661,1.25731038055766,-263.051110402294
17400,-30.0711319486157,1.25723141382624,-263.051239629423
17500,-30.0727627310798,1.2572948833088,-263.051135764654
17600,-30.0713915677075,1.25724151812988,-263.051223094584
17700,-30.0710566381427,1.25722848276045,-263.051244425801
17800,-30.0732224168568,1.25731277401595,-263.051106485314
17900,-30.0711766874432,1.25723315505337,-263.051236780113
18000,-30.0726049456551,1.25728874236668,-263.051145814117
18100,-30.0714827931302,1.25724506859873,-263.0512172845
18200,-30.0710699572528,1.25722900113951,-263.051243577547
18300,-30.0730812841938,1.25730728121068,-263.051115474419
18400,-30.0712185606697,1.25723478475266,-263.051234113305
18500,-30.0724471468292,1.25728260090121,-263.051155864424
18600,-30.071569001185,1.25724842379305,-263.051211793969
18700,-30.071082566044,1.25722949187256,-263.051242774531
18800,-30.072946693538,1.25730204301141,-263.051124046849
18900,-30.071258545464,1.25723634095337,-263.051231566768
19000,-30.0722958577492,1.25727671278777,-263.051165500125
19100,-30.0716517357593,1.25725164379868,-263.051206524662
19200,-30.0710946444751,1.25722996196334,-263.051242005293
19300,-30.0728170519114,1.25729699742356,-263.051132304063
19400,-30.0712970912073,1.25723784114662,-263.051229111881
19500,-30.0721496215707,1.2572710213319,-263.051174814002
19600,-30.0717317890608,1.25725475945116,-263.051201426122
19700,-30.0711063368829,1.25723041703068,-263.051241260639
19800,-30.0726910917578,1.25729209511925,-263.051140326795
19900,-30.0658462703463,1.2570256846612,-263.051576055449
20000,-6.00081287248935,0.263606334668801,-263.500433017407
20100,-0.00310415069967579,0.000137859033583536,-263.277465739994
20200,0.000242932120293705,-1.0788998981727e-05,-263.27730335925
20300,0.000701587264932747,-3.11586232543732e-05,-263.277281103448
20400,0.00135939290242792,-6.03729039579981e-05,-263.277249182677
20500,0.000409180100949101,-1.81723394052152e-05,-263.277295292322
20600,0.0022243269050221,-9.87862101440446e-05,-263.277207208404
20700,0.000376723432678124,-1.67308864878726e-05,-263.277296867232
20800,0.00246069051341792,-0.000109283584119328,-263.277195737168
20900,0.000542485703380253,-2.40926642563062e-05,-263.277288823668
21000,0.00171161249315129,-7.60156327459847e-05,-263.277232089606
21100,0.000928808613868749,-4.12499311563492e-05,-263.277270076872
