time,sim_x,sim_y,sim_z
0,0,0,-263.277315152675
100,-6.43433822298021e-16,2.43635752391555e-15,-263.277315151858
200,-1.28686764459604e-15,4.87271504783109e-15,-263.277315151042
300,-1.93030146689406e-15,7.30907257174664e-15,-263.277315150225
400,-2.57373528919209e-15,9.74543009566219e-15,-263.277315149409
500,-3.21716911149011e-15,1.21817876195777e-14,-263.277315148592
600,-3.86060293378813e-15,1.46181451434933e-14,-263.277315147776
700,-4.43547344953153e-15,1.71008762383783e-14,-263.277315146976
800,-1.65074194409854e-15,2.18559123107677e-14,-263.277315146976
900,1.13398956133444e-15,2.66109483831571e-14,-263.277315146976
1000,3.91872106676742e-15,3.13659844555465e-14,-263.277315146976
1100,6.70345257220041e-15,3.61210205279359e-14,-263.277315146976
1200,9.48818407763339e-15,4.08760566003253e-14,-263.277315146976
1300,1.22729155830664e-14,4.56310926727147e-14,-263.277315146976
1400,1.49246296333899e-14,4.99940929752961e-14,-263.277315146976
1500,1.43839247610853e-14,4.49482348024867e-14,-263.277315146976
1600,1.38432198887807e-14,3.99023766296772e-14,-263.277315146976
1700,1.33025150164762e-14,3.48565184568678e-14,-263.277315146976
1800,1.27618101441716e-14,2.98106602840584e-14,-263.277315146976
1900,1.22211052718671e-14,2.47648021112489e-14,-263.277315146976
2000,1.16804003995625e-14,1.97189439384395e-14,-263.277315146976
2100,1.07817247676112e-14,1.47383830213569e-14,-263.277315146976
2200,4.27484056786033e-15,1.07808124439956e-14,-263.277315146976
2300,-2.23204363189047e-15,6.82324186663418e-15,-263.277315146976
2400,-8.7389278316413e-15,2.8656712892728e-15,-263.277315146976
2500,-1.52458120313921e-14,-1.09189928808858e-15,-263.277315146976
2600,-2.1752696231143e-14,-5.04946986544996e-15,-263.277315146976
2700,-2.82595804308938e-14,-9.00704044281135e-15,-263.277315146976
2800,-3.37465964926466e-14,-1.20133529602205e-14,-263.277315146976
2900,-2.75051289674223e-14,-4.0801977881793e-15,-263.277315146976
3000,-2.1263661442198e-14,3.8529573838619e-15,-263.277315146976
3100,-1.50221939169737e-14,1.17861125559031e-14,-263.277315146976
3200,-8.78072639174938e-15,1.97192677279443e-14,-263.277315146976
3300,-2.53925886652511e-15,2.76524228999855e-14,-263.277315146976
3400,3.70220865869919e-15,3.55855780720267e-14,-263.277315146976
3500,8.09808299065426e-15,4.22949668742332e-14,-263.277315146976
3600,-4.11638141681337e-15,3.79904583479273e-14,-263.277315146976
3700,-1.6330845824281e-14,3.36859498216215e-14,-263.277315146976
3800,-2.85453102317486e-14,2.93814412953157e-14,-263.277315146976
3900,-4.07597746392162e-14,2.50769327690099e-14,-263.277315146976
4000,-5.29742390466838e-14,2.0772424242704e-14,-263.277315146976
4100,-6.51887034541514e-14,1.64679157163982e-14,-263.277315146976
4200,-7.41787987880177e-14,1.27501254177752e-14,-263.277315146976
4300,-5.95235209154751e-14,1.33349354554926e-14,-263.277315146976
4400,-4.48682430429324e-14,1.391974549321e-14,-263.277315146976
4500,-3.02129651703898e-14,1.45045555309274e-14,-263.277315146976
4600,-1.55576872978472e-14,1.50893655686448e-14,-263.277315146976
4700,-9.02409425304411e-16,1.56741756063622e-14,-263.277315146976
4800,1.37528684472382e-14,1.62589856440796e-14,-263.277315146976
4900,0.0173463211487694,-3.88805658024581e-08,-263.278340019792
5000,29.6437334846114,-0.0780784145857931,-263.394681001381
5100,37.0780136155673,-0.125796861022335,-262.914613193321
5200,37.0814709793837,-0.125822156664531,-262.914340660905
5300,37.0810876284681,-0.125819351751588,-262.914370881395
5400,37.0814394639215,-0.125821926076595,-262.914343145261
5500,37.0813625701085,-0.125821363454006,-262.914349207043
5600,37.0811323275643,-0.125819678808156,-262.914367357636
5700,37.0817277278319,-0.125824035278762,-262.914320420318
5800,37.0809339628619,-0.125818227414619,-262.914382995101
5900,37.0820133123841,-0.125826124886737,-262.914297906433
6000,37.0809100965853,-0.125818052790289,-262.914384876516
6100,37.0819527665136,-0.125825681867844,-262.914302679633
6200,37.0810626998003,-0.125819169353258,-262.914372846556
6300,37.0814905068279,-0.125822299544297,-262.914339121461
6400,37.0814001323161,-0.125821638285373,-262.91434624597
6500,37.0810452027437,-0.125819041329807,-262.9143742259
6600,37.0819969945593,-0.125826005484109,-262.914299192906
6700,37.0808574800367,-0.125817667808635,-262.914389024334
6800,37.0826525388462,-0.125830802158307,-262.914247512117
6900,37.0808613663579,-0.125817696245483,-262.914388717947
7000,37.0826942026565,-0.125831107023342,-262.914244227377
7100,37.0810354208336,-0.125818969768703,-262.914374996855
7200,37.0819316639406,-0.125825527478941,-262.914304342967
7300,37.0813897815096,-0.125821562588249,-262.914347061363
7400,37.0812174091751,-0.125820301337102,-262.914360650396
7500,37.081902003628,-0.125825310485363,-262.914306680735
7600,37.080876693812,-0.125817808391725,-262.914387509668
7700,37.0825501167043,-0.125830052719182,-262.914255586763
7800,37.0807969197169,-0.125817224705016,-262.914393798352
7900,37.0810292069541,-0.125818924291785,-262.914375486855
8000,37.0819212738248,-0.125825451435545,-262.914305162283
8100,37.080910394166,-0.125818054965608,-262.914384853058
8200,37.0821793169768,-0.12582733953708,-262.914284819381
8300,37.0809580183125,-0.125818403419961,-262.914381098769
8400,37.0820336639261,-0.125826273814378,-262.914296301626
8500,37.081188662105,-0.125820090996566,-262.914362916586
8600,37.0814978745975,-0.125822353471842,-262.914338540239
8700,37.0816245423823,-0.12582328029324,-262.914328554444
8800,37.0810287197066,-0.125818920730611,-262.914375525158
8900,37.0821618574232,-0.125827211826675,-262.914286195055
9000,37.080826875032,-0.125817443878123,-262.914391436934
9100,37.0825504308493,-0.125830055002326,-262.914255561967
9200,37.0808224928329,-0.125817411813127,-262.914391782404
9300,37.0825475824361,-0.125830034177214,-262.914255786216
9400,37.0809862173554,-0.12581860974208,-262.914378875791
9500,37.08195670372,-0.125825710725079,-262.914302368189
9600,37.0813866082237,-0.125821539332321,-262.914347311914
9700,37.0810144054496,-0.125818815985629,-262.914376653703
9800,37.0817056670545,-0.125823873849173,-262.914322159373
9900,37.0789881000697,-0.124388891901,-262.914652203546
10000,7.41637668264984,28.0118356610969,-264.511176756724
10100,0.00250159870068712,35.032875453467,-263.957048173508
10200,-0.000349099383311302,35.0355743438516,-263.956759736087
10300,-0.000903775326048036,35.0360994816718,-263.956703606251
10400,-0.000370918208752534,35.0355950007608,-263.956757528201
10500,-0.000992208913924288,35.0361832059093,-263.956694657137
10600,-0.000446180146798436,35.0356662547805,-263.956749912262
10700,-0.000782559432643477,35.0359847208805,-263.95671587264
10800,-0.000662317119917856,35.0358708818258,-263.956728040598
10900,-0.000463179736231081,35.0356823490919,-263.956748192009
11000,-0.00102622298935762,35.0362154086327,-263.956691214903
11100,-0.000311695104093974,35.0355389314588,-263.956763521095
11200,-0.00139611008503722,35.0365655981392,-263.956653783057
11300,-0.000306401910143648,35.0355339201427,-263.956764056696
11400,-0.00143788141871319,35.0366051450265,-263.956649555973
11500,-0.000420697668595286,35.0356421293172,-263.956752490744
11600,-0.00098701448180046,35.0361782880947,-263.956695182708
11700,-0.000662053704727871,35.0358706324346,-263.956728066858
11800,-0.00052370632012233,35.0357396524577,-263.956742067095
11900,-0.00104521060576328,35.0362333851018,-263.956689293186
12000,-0.000302221982221963,35.0355299628092,-263.956764479684
12100,-0.00157036035397508,35.0367305690674,-263.956636149097
12200,-0.000258311003764774,35.0354883902185,-263.956768923106
12300,-0.000422268336208073,35.0356436163455,-263.95675233192
12400,-0.00114363730087511,35.0363265702915,-263.956679332887
12500,-0.000300072467345507,35.0355279277639,-263.956764697207
12600,-0.00147298817095972,35.0366383822536,-263.956646003146
12700,-0.000316378936984704,35.0355433658677,-263.956763047115
12800,-0.00145093625792588,35.0366175046707,-263.956648234229
12900,-0.000470334771326693,35.0356891231065,-263.956747467849
13000,-0.000972132290274305,35.036164198435,-263.956696688174
13100,-0.000784688023372136,35.0359867361267,-263.956715656735
13200,-0.000503344944472471,35.0357203753925,-263.956744127367
13300,-0.00120602326755273,35.0363856340269,-263.95667301855
13400,-0.000283036780007733,35.0355117992798,-263.956766421037
13500,-0.000913006755475552,35.0361082215152,-263.956702671578
13600,-0.000760370757821967,35.0359637138324,-263.956718117619
13700,-0.000316680476624976,35.0355436513537,-263.95676301661
13800,-0.00136313202632959,35.0365343762917,-263.956657119812
13900,-0.000494346910448909,35.0357118565357,-263.95674503804
14000,-0.000868980848811195,35.0360665401199,-263.95670712656
14100,-0.000855993158938365,35.0360542440654,-263.956708441103
14200,-0.000317790655986856,35.0355447024143,-263.956762904272
14300,-0.00130876837861461,35.0364829076729,-263.956662621339
14400,-0.000511231662994042,35.0357278421275,-263.956743329442
14500,-0.000792045115507281,35.0359937014408,-263.956714912155
14600,-0.000900634889768136,35.036096508495,-263.956703923619
14700,-0.000328884641349179,35.0355552056131,-263.956761781653
14800,-0.00120541469354562,35.0363850578781,-263.95667308065
14900,-0.00233929881670437,35.0330479720955,-263.957029650478
15000,-29.6963228601175,6.88562250994198,-263.873038819045
15100,-37.0771125030551,-0.122627214725166,-262.91494376283
15200,-37.0814115138041,-0.126710770243919,-262.914272382453
15300,-37.0807990875072,-0.126129036991365,-262.914368037937
15400,-37.0816084702601,-0.12689785581677,-262.914241619026
15500,-37.0809747662511,-0.126295911219746,-262.914340598646
15600,-37.081216374651,-0.126525410902126,-262.914302861531
15700,-37.0812867071858,-0.126592218576097,-262.914291875943
15800,-37.0808830979738,-0.126208837093235,-262.914354916351
15900,-37.0816683115752,-0.126954698063413,-262.914232271821
16000,-37.0807475808566,-0.126080111707296,-262.914376082701
16100,-37.0819340812257,-0.12720714811394,-262.914190760258
16200,-37.080762859237,-0.126094624378597,-262.914373696402
16300,-37.0818529992907,-0.127130129774548,-262.914203424391
16400,-37.0809204849926,-0.126244350381224,-262.914349076933
16500,-37.0813634314768,-0.126665097672147,-262.914279891882
16600,-37.0812730828835,-0.126579277082567,-262.914294004106
16700,-37.0808293147862,-0.126157749364727,-262.914363316791
16800,-37.0815126438347,-0.12680683193435,-262.914256586322
16900,-37.0810424965877,-0.126360247104017,-262.914330019935
17000,-37.0810584846588,-0.126375433901509,-262.91432752254
17100,-37.0814543749564,-0.126751483320903,-262.914265687637
17200,-37.0807587859763,-0.126090755258023,-262.9143743326
17300,-37.0819723545414,-0.127243503292812,-262.914184781405
17400,-37.0807044096501,-0.126039104119068,-262.914382825538
17500,-37.0822318250075,-0.12748996986309,-262.914144253124
17600,-37.0807605312091,-0.126092413025544,-262.914374059941
17700,-37.0819560087404,-0.127227976685647,-262.914187335167
17800,-37.0809176951236,-0.126241700334272,-262.91434951248
17900,-37.0807024149562,-0.126037209392954,-262.914383137087
18000,-37.0809568543866,-0.126278897043573,-262.914343396439
18100,-37.0815266513519,-0.126820137428184,-262.91425439881
18200,-37.0807587499718,-0.126090721057246,-262.914374338221
18300,-37.0821149183083,-0.127378922175186,-262.914162513814
18400,-37.0807240781016,-0.126057786842918,-262.914379753556
18500,-37.0823898624598,-0.127640086941416,-262.914119567987
18600,-37.0808114902393,-0.126140818133157,-262.91436610068
18700,-37.0819352349629,-0.127208244022289,-262.914190579895
18800,-37.0810237999112,-0.126342487453343,-262.914332939744
18900,-37.080729893636,-0.126063310917612,-262.91437884524
19000,-37.0809065087109,-0.126231074546008,-262.914351259883
19100,-37.0816250670592,-0.126913620818358,-262.914239026675
19200,-37.0807523171915,-0.126084610666681,-262.914375342946
19300,-37.0821037174266,-0.127368282627585,-262.91416426355
19400,-37.0807473700405,-0.126079911452559,-262.914376115626
19500,-37.0822218781785,-0.127480521515648,-262.914145806598
19600,-37.0808725723329,-0.126198838961564,-262.914356560306
19700,-37.0816964356053,-0.12698141258145,-262.914227878827
19800,-37.0811456133655,-0.126458195961155,-262.914313913499
19900,-37.0759446580302,-0.130148833713822,-262.914963484656
20000,-7.45077770190461,-27.7411734923698,-263.336988801063
20100,-0.00343139920736686,-34.5869985041563,-262.483220159004
20200,9.86944866810793e-05,-34.590234586161,-262.482724326732
20300,0.000409494316588101,-34.5905194997774,-262.482680666443
20400,0.000838432696789389,-34.5909127121904,-262.482620409256
20500,0.000532576760288076,-34.5906323307818,-262.482663375931
20600,0.000651450564126525,-34.5907413036754,-262.48264667659
20700,0.000719255740293548,-34.5908034614007,-262.482637151262
20800,0.000471302843537625,-34.5905761603224,-262.482671983652
20900,0.000937297264574761,-34.5910033423796,-262.482606520575
21000,0.000386898886453185,-34.5904987863007,-262.482683840611
21100,0.00106991132700565,-34.591124911079,-262.482587890627
21200,0.000416166193423742,-34.590525615957,-262.482679729169
21300,0.000969758197757188,-34.591033099637,-262.482601960191
21400,0.000570576266049628,-34.5906671653289,-262.482658037704
21500,0.000671542741841824,-34.5907597223687,-262.482643853839
21600,0.000854192478206692,-34.5909271593114,-262.482618194946
21700,0.000406572619298332,-34.5905168214165,-262.482681076799
21800,0.00118766087360768,-34.5912328532717,-262.48257134842
21900,0.000293477817169213,-34.5904131461849,-262.482696964197
22000,0.00138396876552684,-34.5914128107677,-262.482543770622
22100,0.000314237866431274,-34.5904321771484,-262.482694047883
22200,0.00126227086303125,-34.5913012490132,-262.482560866946
22300,0.000471247912051607,-34.5905761099588,-262.482671991353
22400,0.000814992842804079,-34.5908912245618,-262.482623701555
22500,0.000818861285971188,-34.5908947708349,-262.482623158434
22600,0.000389535389723801,-34.590501203195,-262.48268347013
22700,0.00133804608067192,-34.5913707128874,-262.482550221312
22800,0.00023272783429382,-34.5903574560083,-262.482705498204
22900,0.000561283711292314,-34.5906586467426,-262.48265934318
23000,0.00094452976846676,-34.5910099724636,-262.482605504385
23100,0.000316955164482359,-34.590434668124,-262.482693666166
23200,0.00143002943458829,-34.5914550350009,-262.48253729935
23300,0.000256095599356214,-34.5903788774947,-262.48270221556
23400,0.00169542922715515,-34.5916983296936,-262.482500014584
23500,0.00031013067749351,-34.5904284120356,-262.482694624781
23600,0.00144186094921668,-34.5914658811149,-262.482535637608
23700,0.000470822147995525,-34.5905757196349,-262.482672050928
23800,0.000820294775323558,-34.5908960849574,-262.482622957274
23900,0.000760253339543625,-34.590841044311,-262.482631391676
24000,0.000407557875606434,-34.5905177246166,-262.482680938446
24100,0.00129425554869344,-34.591330569751,-262.482556373973
24200,0.00048091148780987,-34.5905849686376,-262.482670633501
24300,0.000273605285286252,-34.5903949288194,-262.482699755843
24400,0.00182054734402143,-34.5918130267638,-262.482482437228
24500,0.000354404421879238,-34.5904689982632,-262.482688405274
24600,0.00140275597906538,-34.5914300331953,-262.482541131094
24700,0.000562762035205937,-34.5906600019133,-262.482659135124
24800,0.00027743249058468,-34.590398437262,-262.482699218207
24900,0.0149083525394595,-34.5793263311328,-262.484394067914
25000,29.7321563664967,-7.0325359530345,-263.595242045807
25100,37.0771023160343,-0.12898812532404,-262.9148254634
25200,37.0813877920451,-0.124947950953495,-262.914308837454
25300,37.0807894049724,-0.125512087500936,-262.914380987376
25400,37.0816345794565,-0.124715289089101,-262.914279080572
25500,37.0809521356406,-0.125358671235688,-262.914361366446
25600,37.0812481418786,-0.125079607811137,-262.914325675703
25700,37.0812505703921,-0.125077318278526,-262.914325382673
25800,37.0809003273377,-0.125407514129028,-262.914367613157
25900,37.0816296035805,-0.124719980114632,-262.914279680162
26000,37.0807506077076,-0.125548664074786,-262.914385665225
26100,37.0819191636702,-0.124446993794988,-262.914244765887
26200,37.080754995131,-0.125544527781836,-262.914385136239
26300,37.0818845193041,-0.124479655151045,-262.914248942747
26400,37.080898871966,-0.125408886205059,-262.914367788691
26500,37.0814184882551,-0.12491901164196,-262.914305135463
26600,37.0812312828019,-0.125095501906476,-262.914327708432
