time,sim_x,sim_y,sim_z
0,0,0,-263.277315152675
100,-1.69931265546606e-15,2.11121588593157e-15,-263.277315152156
200,-3.39862531093212e-15,4.22243177186313e-15,-263.277315151637
300,-5.09793796639819e-15,6.3336476577947e-15,-263.277315151118
400,-6.79725062186425e-15,8.44486354372626e-15,-263.277315150599
500,-8.49656327733031e-15,1.05560794296578e-14,-263.27731515008
600,-1.01958759327964e-14,1.26672953155894e-14,-263.27731514956
700,-1.18951885882624e-14,1.4778511201521e-14,-263.277315149041
800,-1.35945012437285e-14,1.68897270874525e-14,-263.277315148522
900,-1.52938138991946e-14,1.90009429733841e-14,-263.277315148003
1000,-1.69931265546606e-14,2.11121588593157e-14,-263.277315147484
1100,-1.87203380935698e-14,2.32455242226692e-14,-263.277315146976
1200,-2.18145949211925e-14,2.64642139796972e-14,-263.277315146976
1300,-2.49088517488152e-14,2.96829037367253e-14,-263.277315146976
1400,-2.80031085764379e-14,3.29015934937534e-14,-263.277315146976
1500,-3.10973654040606e-14,3.61202832507815e-14,-263.277315146976
1600,-3.41916222316833e-14,3.93389730078096e-14,-263.277315146976
1700,-3.7285879059306e-14,4.25576627648376e-14,-263.277315146976
1800,-4.03801358869287e-14,4.57763525218657e-14,-263.277315146976
1900,-4.34743927145514e-14,4.89950422788938e-14,-263.277315146976
2000,-4.65686495421741e-14,5.22137320359219e-14,-263.277315146976
2100,-4.96629063697967e-14,5.54324217929499e-14,-263.277315146976
2200,-5.26212058686671e-14,5.85068816831197e-14,-263.277315146976
2300,-5.23165294774808e-14,5.81198247686898e-14,-263.277315146976
2400,-5.20118530862945e-14,5.77327678542598e-14,-263.277315146976
2500,-5.17071766951082e-14,5.73457109398299e-14,-263.277315146976
2600,-5.14025003039219e-14,5.69586540253999e-14,-263.277315146976
2700,-5.10978239127356e-14,5.657159711097e-14,-263.277315146976
2800,-5.07931475215493e-14,5.618454019654e-14,-263.277315146976
2900,-5.0488471130363e-14,5.57974832821101e-14,-263.277315146976
3000,-5.01837947391767e-14,5.54104263676801e-14,-263.277315146976
3100,-4.98791183479904e-14,5.50233694532502e-14,-263.277315146976
3200,-4.95744419568041e-14,5.46363125388203e-14,-263.277315146976
3300,-4.92403056369872e-14,5.44446483572539e-14,-263.277315146976
3400,-4.84446304352922e-14,5.73141369905512e-14,-263.277315146976
3500,-4.76489552335971e-14,6.01836256238484e-14,-263.277315146976
3600,-4.6853280031902e-14,6.30531142571457e-14,-263.277315146976
3700,-4.60576048302069e-14,6.59226028904429e-14,-263.277315146976
3800,-4.52619296285119e-14,6.87920915237402e-14,-263.277315146976
3900,-4.44662544268168e-14,7.16615801570374e-14,-263.277315146976
4000,-4.36705792251217e-14,7.45310687903346e-14,-263.277315146976
4100,-4.28749040234267e-14,7.74005574236319e-14,-263.277315146976
4200,-4.20792288217316e-14,8.02700460569292e-14,-263.277315146976
4300,-4.12835536200365e-14,8.31395346902264e-14,-263.277315146976
4400,-3.64136555691749e-14,8.2135176238213e-14,-263.277315146976
4500,1.53098052471026e-14,3.65815763051278e-14,-263.277315146976
4600,7.76544764084374e-15,3.20062966876832e-14,-263.277315146976
4700,2.60316047920076e-15,2.98085696482553e-14,-263.277315146976
4800,5.26769974879868e-16,2.9031224452825e-14,-263.277315146976
4900,0.00116319347735994,0.00122462813339465,-263.277487781426
5000,31.5428998120813,33.4586656797318,-264.005245386646
5100,39.3852793527202,41.8839045283622,-262.938194085813
5200,39.3888737817862,41.8877793408938,-262.937583143873
5300,39.3894134494592,41.8883611065493,-262.937491406484
5400,39.3890252174253,41.88794258958,-262.937557401779
5500,39.3892133201095,41.8881453656362,-262.937525426437
5600,39.3892584285426,41.8881939928521,-262.937517758527
5700,39.3889680980032,41.8878810144375,-262.937567111366
5800,39.3896067684219,41.8885695058595,-262.937458543842
5900,39.3888754145383,41.8877811010122,-262.937582866328
6000,39.3898836596328,41.8888679967474,-262.93741147408
6100,39.388906556998,41.8878146728068,-262.93757757248
6200,39.3897343368962,41.8887070256829,-262.937436857904
6300,39.3890620207281,41.8879822638328,-262.937551145411
6400,39.3893025291273,41.8882415336325,-262.937510261665
6500,39.3893448307748,41.8882871351672,-262.937503070408
6600,39.3889672838762,41.8878801368129,-262.937567249679
6700,39.3897221279681,41.8886938643925,-262.937438933127
6800,39.3888297975572,41.8877319255916,-262.937590620578
6900,39.3900939255731,41.889094665136,-262.937375729741
7000,39.3888378513434,41.8877406076306,-262.937589251543
7100,39.3901215155105,41.8891244074132,-262.937371038702
7200,39.3889810874992,41.8878950172259,-262.937564903186
7300,39.3896170765891,41.8885806182718,-262.937456790512
7400,39.3892907117057,41.8882287944234,-262.937512270066
7500,39.3888514315352,41.8877552471722,-262.937586943101
7600,39.389982407401,41.8889744477496,-262.937394686511
7700,39.3890138225739,41.887930305867,-262.937559338647
7800,39.3894848751113,41.8884381040623,-262.937479263751
7900,39.3893531711256,41.8882961261325,-262.937501652617
8000,39.3888624468233,41.8877671217272,-262.937585070655
8100,39.3898697422234,41.8888529937764,-262.93741383907
8200,39.3890439563752,41.8879627903142,-262.937554216288
8300,39.3893682415931,41.8883123722334,-262.937499090524
8400,39.3894129359045,41.8883605529975,-262.93749149322
8500,39.3888720388087,41.887777461952,-262.93758344015
8600,39.3897699234296,41.8887453883116,-262.93743080778
8700,39.3890723033385,41.8879933485376,-262.937549397667
8800,39.3892600371981,41.8881957270677,-262.937517484401
8900,39.3894704998488,41.8884226073492,-262.937481707937
9000,39.3888808794103,41.8877869921808,-262.937581937369
9100,39.3896766613864,41.8886448510841,-262.937446661866
9200,39.389099496388,41.8880226628359,-262.937544775197
9300,39.3891566529482,41.8880842780592,-262.937535058889
9400,39.3895264086748,41.8884828774724,-262.937472204008
9500,39.3888913817975,41.8877983138271,-262.9375801521
9600,39.3895873726798,41.8885485971453,-262.937461840504
9700,39.3891258257453,41.8880510460676,-262.937540299544
9800,39.3890565364267,41.8879763516873,-262.93755207789
9900,39.3866656869341,41.8873891792147,-262.937757601157
10000,7.83295493962914,40.6483778988298,-263.059920457614
10100,0.00255165406597382,40.26202164617,-262.49966041706
10200,-0.000371011361408618,40.2618720064661,-262.499406697067
10300,-0.00111660808793297,40.2618338313307,-262.499341964435
10400,-0.000971587508871099,40.2618412564771,-262.499354554937
10500,-0.000361394827172523,40.2618724988442,-262.49940753201
10600,-0.000371754369012366,40.2618719684261,-262.499406632583
10700,-0.00187468750633705,40.2617950168289,-262.499276146036
10800,-0.000308402438688424,40.261875212084,-262.499412132706
10900,-0.00195556275458617,40.2617908759563,-262.499269124505
