run_id,vision_time,frame_id,marker_id,marker_px,marker_py,vision_x,vision_y,marker_detected,valid,phase
2026-06-05_run01_pre_static_center_r01,1780657475.248592,0,10,638.750,358.250,2.211,13.182,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657475.393020,1,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657475.536573,2,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657475.680277,3,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657475.828707,4,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657475.969366,5,10,639.000,357.750,2.091,13.420,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657476.112025,6,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657476.240767,7,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657476.383149,8,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657476.532580,9,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657476.672757,10,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657476.815273,11,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657476.962801,12,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657477.105538,13,10,638.750,358.250,2.211,13.182,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657477.231817,14,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657477.375430,15,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657477.519152,16,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657477.668239,17,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657477.807158,18,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657477.953191,19,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657478.096725,20,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657478.224417,21,10,638.750,358.250,2.211,13.182,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657478.369179,22,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657478.514642,23,10,638.750,358.000,2.210,13.301,True,True,static_center
2026-06-05_run01_pre_static_center_r01,1780657478.660691,24,10,638.750,358.000,2.210,13.301,True,True,static_center
