run_id,vision_time,frame_id,marker_id,marker_px,marker_py,vision_x,vision_y,marker_detected,valid,phase
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711341.629149,0,10,639.750,362.500,0.181,1.304,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711341.765925,1,10,639.750,362.500,0.181,1.304,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711341.909621,2,10,639.750,362.500,0.181,1.304,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711342.054373,3,10,639.750,362.500,0.181,1.304,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711342.198899,4,10,639.750,362.500,0.181,1.304,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711342.326795,5,10,639.750,362.500,0.181,1.304,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711342.470370,6,10,639.750,362.500,0.181,1.304,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711342.613813,7,10,639.750,362.500,0.181,1.304,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711342.759769,8,10,639.750,362.500,0.181,1.304,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711342.901596,9,10,639.750,362.250,0.179,1.423,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711343.051094,10,10,639.750,362.250,0.179,1.423,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711343.189864,11,10,639.750,362.500,0.181,1.304,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711343.318826,12,10,639.750,362.000,0.177,1.542,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711343.461792,13,10,639.000,352.500,0.441,6.080,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711343.606105,14,10,639.500,350.000,0.179,7.267,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711343.749772,15,10,639.500,350.000,0.179,7.267,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711343.893293,16,10,639.500,350.000,0.179,7.267,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711344.038447,17,10,639.500,350.000,0.179,7.267,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711344.181718,18,10,639.500,350.000,0.179,7.267,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711344.314785,19,10,639.500,349.750,0.176,7.387,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711344.459135,20,10,639.500,350.000,0.179,7.267,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711344.601476,21,10,639.500,350.000,0.179,7.267,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711344.746973,22,10,,,,,False,False,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711344.885373,23,10,641.250,361.500,-0.540,1.765,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711345.029372,24,10,641.250,361.750,-0.538,1.646,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711345.174004,25,10,641.500,362.000,-0.654,1.524,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711345.302932,26,10,641.500,362.000,-0.654,1.524,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711345.445307,27,10,641.500,362.000,-0.654,1.524,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711345.594255,28,10,641.500,362.000,-0.654,1.524,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711345.738555,29,10,641.500,362.000,-0.654,1.524,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711345.877873,30,10,641.750,362.250,-0.770,1.402,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711346.021204,31,10,641.500,362.000,-0.654,1.524,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711346.171057,32,10,641.500,362.000,-0.654,1.524,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711346.298579,33,10,641.500,362.000,-0.654,1.524,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711346.443009,34,10,641.500,362.000,-0.654,1.524,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711346.586043,35,10,641.750,362.250,-0.770,1.402,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711346.729593,36,10,641.750,362.250,-0.770,1.402,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711346.869201,37,10,641.500,362.250,-0.651,1.405,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711347.014992,38,10,641.500,362.250,-0.651,1.405,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711347.162942,39,10,641.750,362.250,-0.770,1.402,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711347.285162,40,10,641.750,362.250,-0.770,1.402,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711347.433808,41,10,641.750,362.250,-0.770,1.402,True,True,home_1
2026-06-06_run01_main_grid_3x3_pm40_r02,1780711347.575524,42,10,641.750,362.250,-0.770,1.402,True,True,home_1
