run_id,vision_time,frame_id,marker_id,marker_px,marker_py,vision_x,vision_y,marker_detected,valid,phase
2026-06-06_run01_main_square_pm40_r02,1780710851.229333,0,10,639.750,364.000,0.196,0.589,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710851.372869,1,10,639.500,363.750,0.312,0.711,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710851.517437,2,10,639.500,363.750,0.312,0.711,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710851.659817,3,10,639.500,363.750,0.312,0.711,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710851.789484,4,10,639.750,364.000,0.196,0.589,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710851.933594,5,10,639.500,363.750,0.312,0.711,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710852.077516,6,10,639.500,363.750,0.312,0.711,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710852.220742,7,10,639.750,364.000,0.196,0.589,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710852.370852,8,10,639.500,363.750,0.312,0.711,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710852.513129,9,10,638.750,357.500,0.608,3.698,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710852.651832,10,10,639.750,353.500,0.094,5.595,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710852.779766,11,10,639.750,353.250,0.092,5.715,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710852.923993,12,10,639.750,353.250,0.092,5.715,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710853.067983,13,10,639.750,353.250,0.092,5.715,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710853.211485,14,10,639.750,353.250,0.092,5.715,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710853.360856,15,10,639.750,353.250,0.092,5.715,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710853.499233,16,10,639.750,353.250,0.092,5.715,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710853.648309,17,10,639.500,353.250,0.210,5.717,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710853.777216,18,10,640.000,353.500,-0.025,5.593,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710853.917117,19,10,640.750,361.500,-0.303,1.770,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710854.058984,20,10,640.750,363.750,-0.281,0.698,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710854.207953,21,10,640.750,363.750,-0.281,0.698,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710854.351351,22,10,641.000,363.500,-0.402,0.814,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710854.495852,23,10,640.750,363.750,-0.281,0.698,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710854.640452,24,10,640.750,363.750,-0.281,0.698,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710854.768978,25,10,641.000,363.500,-0.402,0.814,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710854.911532,26,10,640.750,364.750,-0.271,0.221,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710855.052520,27,10,641.000,364.500,-0.392,0.338,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710855.196991,28,10,641.000,364.500,-0.392,0.338,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710855.343815,29,10,641.000,364.500,-0.392,0.338,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710855.488217,30,10,641.000,364.750,-0.390,0.218,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710855.631208,31,10,641.000,364.500,-0.392,0.338,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710855.760988,32,10,641.250,364.500,-0.511,0.335,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710855.903633,33,10,641.000,364.500,-0.392,0.338,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710856.050775,34,10,641.250,364.500,-0.511,0.335,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710856.188570,35,10,641.000,364.500,-0.392,0.338,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710856.332207,36,10,641.250,364.500,-0.511,0.335,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710856.475988,37,10,641.000,364.750,-0.390,0.218,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710856.620895,38,10,641.000,364.750,-0.390,0.218,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710856.747520,39,10,641.000,365.000,-0.387,0.099,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710856.895938,40,10,641.250,364.500,-0.511,0.335,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710857.041016,41,10,641.250,364.500,-0.511,0.335,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710857.182231,42,10,641.250,364.750,-0.509,0.216,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710857.324662,43,10,641.000,364.750,-0.390,0.218,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710857.470510,44,10,641.250,364.750,-0.509,0.216,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710857.616120,45,10,641.250,364.500,-0.511,0.335,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710857.739712,46,10,641.250,364.500,-0.511,0.335,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710857.888112,47,10,641.000,364.750,-0.390,0.218,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710858.033147,48,10,641.250,364.500,-0.511,0.335,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710858.177119,49,10,641.250,364.500,-0.511,0.335,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710858.321234,50,10,641.250,364.500,-0.511,0.335,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710858.465786,51,10,641.000,364.750,-0.390,0.218,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710858.593685,52,10,641.250,364.500,-0.511,0.335,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710858.736315,53,10,641.250,364.500,-0.511,0.335,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710858.881072,54,10,641.000,364.750,-0.390,0.218,True,True,home_1
2026-06-06_run01_main_square_pm40_r02,1780710859.025372,55,10,641.250,364.500,-0.511,0.335,True,True,home_1
