run_id,vision_time,frame_id,marker_id,marker_px,marker_py,vision_x,vision_y,marker_detected,valid,phase
2026-06-06_run02_circle_r40_off_r03,1780798796.213664,0,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798796.358576,1,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798796.503380,2,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798796.645963,3,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798796.790624,4,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798796.917903,5,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798797.061210,6,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798797.206600,7,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798797.349499,8,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798797.492619,9,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798797.639048,10,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798797.780386,11,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798797.913324,12,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798798.055163,13,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798798.201809,14,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798798.345999,15,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798798.490031,16,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798798.634089,17,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798798.776409,18,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798798.904598,19,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798799.050368,20,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798799.188510,21,10,640.750,361.250,-2.333,-1.058,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798799.338303,22,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798799.481724,23,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798799.625208,24,10,640.750,361.250,-2.333,-1.058,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798799.769290,25,10,640.500,361.000,-2.215,-0.938,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798799.892410,26,10,640.250,361.500,-2.094,-1.175,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798800.039152,27,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798800.183990,28,10,640.500,361.500,-2.213,-1.176,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798800.330227,29,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798800.474151,30,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798800.618054,31,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798800.760623,32,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798800.884562,33,10,640.250,361.500,-2.094,-1.175,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798801.034017,34,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798801.173145,35,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798801.323214,36,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798801.466122,37,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798801.608515,38,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798801.753867,39,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798801.876903,40,10,640.250,361.500,-2.094,-1.175,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798802.025527,41,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798802.164210,42,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798802.314584,43,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798802.456739,44,10,640.250,361.500,-2.094,-1.175,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798802.601874,45,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798802.746159,46,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798802.869661,47,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798803.013147,48,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798803.156294,49,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798803.300795,50,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798803.449395,51,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798803.593258,52,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798803.737826,53,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798803.865337,54,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798804.005690,55,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798804.148840,56,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798804.297500,57,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798804.442781,58,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798804.585361,59,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798804.729756,60,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798804.857232,61,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798804.996731,62,10,640.500,361.250,-2.214,-1.057,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798805.140930,63,10,640.250,361.250,-2.095,-1.056,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798805.286470,64,10,640.250,361.500,-2.094,-1.175,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798805.433013,65,10,,,,,False,False,
2026-06-06_run02_circle_r40_off_r03,1780798805.576838,66,10,567.250,368.500,32.701,-4.212,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798805.721600,67,10,566.250,368.000,33.177,-3.970,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798805.849797,68,10,566.250,368.000,33.177,-3.970,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798805.994026,69,10,565.500,368.500,33.536,-4.205,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798806.133277,70,10,565.500,368.500,33.536,-4.205,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798806.278098,71,10,565.500,368.500,33.536,-4.205,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798806.425837,72,10,565.250,367.500,33.653,-3.727,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798806.566090,73,10,565.250,367.500,33.653,-3.727,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798806.711543,74,10,565.250,367.500,33.653,-3.727,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798806.836677,75,10,565.250,367.500,33.653,-3.727,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798806.984166,76,10,564.250,366.750,34.129,-3.365,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798807.125141,77,10,564.250,366.750,34.129,-3.365,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798807.274073,78,10,564.000,367.000,34.249,-3.483,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798807.417444,79,10,563.000,359.250,34.706,0.222,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798807.561245,80,10,563.000,359.000,34.706,0.341,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798807.704929,81,10,562.750,359.250,34.826,0.223,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798807.833539,82,10,561.750,352.750,35.287,3.332,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798807.978164,83,10,561.500,352.500,35.406,3.453,True,True,
2026-06-06_run02_circle_r40_off_r03,1780798808.117396,84,10,561.500,351.500,35.403,3.930,True,True,
