run_id,vision_time,frame_id,marker_id,marker_px,marker_py,vision_x,vision_y,marker_detected,valid,phase
2026-06-06_run02_diamond_pm35_on_r03,1780798419.002464,0,10,639.750,362.250,-1.854,-1.531,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798419.145723,1,10,639.750,361.250,-1.857,-1.054,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798419.274031,2,10,640.000,361.500,-1.976,-1.174,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798419.417928,3,10,640.000,362.000,-1.974,-1.413,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798419.561389,4,10,639.750,361.250,-1.857,-1.054,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798419.705767,5,10,639.750,361.250,-1.857,-1.054,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798419.850366,6,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798419.993619,7,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798420.138474,8,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798420.267176,9,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798420.411459,10,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798420.557308,11,10,639.750,361.250,-1.857,-1.054,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798420.702411,12,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798420.846821,13,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798420.991251,14,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798421.130529,15,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798421.258494,16,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798421.407363,17,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798421.551355,18,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798421.694983,19,10,639.750,361.250,-1.857,-1.054,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798421.839205,20,10,639.750,361.000,-1.858,-0.935,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798421.982964,21,10,639.750,361.250,-1.857,-1.054,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798422.126861,22,10,640.000,361.000,-1.977,-0.936,True,True,
2026-06-06_run02_diamond_pm35_on_r03,1780798422.255697,23,10,639.750,361.250,-1.857,-1.054,True,True,
