x_mm,y_mm,z_mm,theta_min_deg_limit,theta_max_deg_limit,status,reason,ik_failure_summary,ik_arm1_status,ik_arm2_status,ik_arm3_status,theta1_deg,theta2_deg,theta3_deg,fk_x_mm,fk_y_mm,fk_z_mm,roundtrip_error_mm,fk_iterations,fk_max_residual_mm2
-30.0,-30.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-7.532019363502092,10.308539246076013,-2.7121724478417537,-30.00000000000003,-29.999999999999634,-260.00000000000017,4.0471319162197955e-13,4,1.4551915228366852e-11
-15.0,-30.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-8.12908717509314,6.524286307074,-0.010477112937082098,-15.0000000000001,-29.99999999999972,-260.00000000000017,3.4314506284792894e-13,4,1.4551915228366852e-11
0.0,-30.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-8.32824383904344,3.0756733195083457,3.0756733195083457,-1.66404844434355e-14,-30.000000000000036,-259.99999999999994,6.906705031091962e-14,4,0.0
15.0,-30.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-8.12908717509314,-0.010477112937082098,6.524286307074,15.0000000000001,-29.99999999999972,-260.00000000000017,3.4314506284792894e-13,4,1.4551915228366852e-11
30.0,-30.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-7.532019363502092,-2.7121724478417537,10.308539246076013,30.00000000000003,-29.999999999999634,-260.00000000000017,4.0471319162197955e-13,4,1.4551915228366852e-11
-30.0,-15.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-4.329830028860604,7.8849959081125665,-5.213363802231676,-29.999999999999915,-14.999999999999801,-260.00000000000006,2.237927638478769e-13,4,1.4551915228366852e-11
-15.0,-15.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-4.92748568605797,4.062007821256815,-2.5107381262200508,-14.999999999999936,-14.999999999999865,-260.00000000000006,1.5983263607498078e-13,4,1.4551915228366852e-11
0.0,-15.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-5.126841060782153,0.5880005811218413,0.5880005811218413,5.569082333927184e-18,-15.000000000000012,-260.0,1.2434499122923946e-14,4,0.0
15.0,-15.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-4.92748568605797,-2.5107381262200508,4.062007821256815,14.999999999999936,-14.999999999999865,-260.00000000000006,1.5983263607498078e-13,4,1.4551915228366852e-11
30.0,-15.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-4.329830028860604,-5.213363802231676,7.8849959081125665,29.999999999999915,-14.999999999999801,-260.00000000000006,2.237927638478769e-13,4,1.4551915228366852e-11
-30.0,0.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-0.7186973276775062,5.8281404924491405,-7.312843327932338,-29.999999999999773,9.99860520594487e-14,-260.0,2.4838679290775306e-13,4,2.9103830456733704e-11
-15.0,0.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-1.3145538091424598,1.976615284401637,-4.616250362443374,-14.999999999999869,-3.3482673850826716e-14,-260.00000000000006,1.4707641885750124e-13,4,1.4551915228366852e-11
0.0,0.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-1.5133010070272592,-1.5133010070272592,-1.5133010070272592,-3.0010716346157e-14,1.0587911840678754e-22,-259.9999999999999,1.175812066903149e-13,4,0.0
15.0,0.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-1.3145538091424598,-4.616250362443374,1.976615284401637,14.999999999999869,-3.3482673850826716e-14,-260.00000000000006,1.4707641885750124e-13,4,1.4551915228366852e-11
30.0,0.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,-0.7186973276775062,-7.312843327932338,5.8281404924491405,29.999999999999773,9.99860520594487e-14,-260.0,2.4838679290775306e-13,4,2.9103830456733704e-11
-30.0,15.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,3.2728869284629267,4.1479094695648495,-9.006365702797757,-29.99999999999986,14.999999999999906,-260.0000000000001,2.024501350744496e-13,4,0.0
-15.0,15.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,2.681089264200743,0.277022147286546,-6.320979676114062,-15.000000000000187,15.000000000000039,-259.99999999999994,1.988647150716782e-13,4,2.9103830456733704e-11
0.0,15.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,2.483714050930664,-3.220625988673175,-3.220625988673175,6.9387880247888216e-18,14.999999999999986,-260.0,1.42108564092161e-14,4,1.4551915228366852e-11
15.0,15.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,2.681089264200743,-6.320979676114062,0.277022147286546,15.000000000000187,15.000000000000039,-259.99999999999994,1.988647150716782e-13,4,2.9103830456733704e-11
30.0,15.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,3.2728869284629267,-9.006365702797757,4.1479094695648495,29.99999999999986,14.999999999999906,-260.0000000000001,2.024501350744496e-13,4,0.0
-30.0,30.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,7.60915176984846,2.8522136034162395,-10.292487810978916,-29.999999999999552,29.999999999999822,-260.00000000000017,5.108994972786021e-13,4,1.4551915228366852e-11
-15.0,30.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,7.0233928439366125,-1.0302186301920269,-7.621657399138586,-14.999999999999936,29.999999999999904,-260.0,1.1528542202361757e-13,4,1.4551915228366852e-11
0.0,30.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,6.828058874523845,-4.528982648602924,-4.528982648602924,-1.0587911840678754e-22,30.00000000000005,-259.99999999999994,7.553172887309252e-14,4,0.0
15.0,30.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,7.0233928439366125,-7.621657399138586,-1.0302186301920269,14.999999999999936,29.999999999999904,-260.0,1.1528542202361757e-13,4,1.4551915228366852e-11
30.0,30.0,-260.0,-45.0,90.0,ok,ok,,ok,ok,ok,7.60915176984846,-10.292487810978916,2.8522136034162395,29.999999999999552,29.999999999999822,-260.00000000000017,5.108994972786021e-13,4,1.4551915228366852e-11
-30.0,-30.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-17.86804015443307,1.7819733052707745,-12.631681601203827,-29.999999999999925,-29.999999999999936,-240.00000000000006,1.1352018211617901e-13,4,4.3655745685100555e-11
-15.0,-30.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-18.536340996711584,-2.435031211678946,-9.677365544303738,-15.000000000000037,-30.000000000000036,-240.00000000000006,7.671311721569361e-14,4,4.3655745685100555e-11
0.0,-30.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-18.75959645464154,-6.2680514375922085,-6.2680514375922085,-1.7902329331421704e-15,-30.000000000000036,-239.99999999999997,4.5532141935723186e-14,4,2.9103830456733704e-11
15.0,-30.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-18.536340996711584,-9.677365544303738,-2.435031211678946,15.000000000000037,-30.000000000000036,-240.00000000000006,7.671311721569361e-14,4,4.3655745685100555e-11
30.0,-30.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-17.86804015443307,-12.631681601203827,1.7819733052707745,29.999999999999925,-29.999999999999936,-240.00000000000006,1.1352018211617901e-13,4,4.3655745685100555e-11
-30.0,-15.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-14.413135185552077,-0.9177407203823121,-15.375791093199188,-29.999999999999925,-15.000000000000082,-240.00000000000003,1.1424060055854232e-13,4,2.9103830456733704e-11
-15.0,-15.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-15.082481745445026,-5.1741709945868335,-12.437484338000639,-15.00000000000005,-15.000000000000142,-240.0,1.505613063586757e-13,4,2.9103830456733704e-11
0.0,-15.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-15.30609141278713,-9.027110583763962,-9.027110583763962,-2.0886682275083002e-14,-15.00000000000004,-240.00000000000009,9.68278125045938e-14,4,4.3655745685100555e-11
15.0,-15.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-15.082481745445026,-12.437484338000639,-5.1741709945868335,15.00000000000005,-15.000000000000142,-240.0,1.505613063586757e-13,4,2.9103830456733704e-11
30.0,-15.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-14.413135185552077,-15.375791093199188,-0.9177407203823121,29.999999999999925,-15.000000000000082,-240.00000000000003,1.1424060055854232e-13,4,2.9103830456733704e-11
-30.0,0.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-10.46019997174275,-3.2095270498486244,-17.661789591458987,-30.000000000000057,-6.534744838619048e-15,-240.0,5.721780455322559e-14,4,2.9103830456733704e-11
-15.0,0.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-11.126349635181882,-7.489985687808015,-14.748520241186391,-14.999999999999991,4.0587674145003624e-14,-240.00000000000003,5.033923867093555e-14,4,1.4551915228366852e-11
0.0,0.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-11.348876485746734,-11.348876485746734,-11.348876485746734,6.609860540562226e-16,-8.577373690459462e-15,-240.00000000000009,8.569801832309945e-14,4,4.3655745685100555e-11
15.0,0.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-11.126349635181882,-14.748520241186391,-7.489985687808015,14.999999999999991,4.0587674145003624e-14,-240.00000000000003,5.033923867093555e-14,4,1.4551915228366852e-11
30.0,0.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-10.46019997174275,-17.661789591458987,-3.2095270498486244,30.000000000000057,-6.534744838619048e-15,-240.0,5.721780455322559e-14,4,2.9103830456733704e-11
-30.0,15.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-6.048608157768272,-5.077922466608216,-19.48210613698426,-30.000000000000007,14.999999999999922,-240.00000000000006,9.690510933769655e-14,4,2.9103830456733704e-11
-15.0,15.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-6.707584719762619,-9.368224595197402,-16.60024436271509,-14.999999999999982,15.000000000000036,-240.00000000000006,6.934620449763122e-14,4,4.3655745685100555e-11
0.0,15.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-6.927682488201279,-13.220858047988203,-13.220858047988203,-2.7755575615628914e-17,14.99999999999997,-240.00000000000009,9.04547736679735e-14,4,5.820766091346741e-11
15.0,15.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-6.707584719762619,-16.60024436271509,-9.368224595197402,14.999999999999982,15.000000000000036,-240.00000000000006,6.934620449763122e-14,4,4.3655745685100555e-11
30.0,15.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-6.048608157768272,-19.48210613698426,-5.077922466608216,30.000000000000007,14.999999999999922,-240.00000000000006,9.690510933769655e-14,4,2.9103830456733704e-11
-30.0,30.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-1.2304058508699771,-6.511772487891583,-20.834988320414116,-29.999999999999886,29.999999999999986,-240.00000000000006,1.2789769243681803e-13,4,2.9103830456733704e-11
-15.0,30.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-1.8788039539978558,-10.79958365203023,-17.988173829164126,-14.999999999999982,29.99999999999999,-240.00000000000003,3.517007107451656e-14,4,4.3655745685100555e-11
0.0,30.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-2.0953206875726647,-14.6360078318617,-14.6360078318617,-2.7753881549734405e-17,30.000000000000043,-240.00000000000003,5.1237972860501305e-14,4,5.820766091346741e-11
15.0,30.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-1.8788039539978558,-17.988173829164126,-10.79958365203023,14.999999999999982,29.99999999999999,-240.00000000000003,3.517007107451656e-14,4,4.3655745685100555e-11
30.0,30.0,-240.0,-45.0,90.0,ok,ok,,ok,ok,ok,-1.2304058508699771,-20.834988320414116,-6.511772487891583,29.999999999999886,29.999999999999986,-240.00000000000006,1.2789769243681803e-13,4,2.9103830456733704e-11
-30.0,-30.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-29.84814243471186,-7.80105323431334,-24.084038198665397,-30.00000000000031,-30.00000000000017,-220.0000000000017,1.7414567524009003e-12,4,9.313225746154785e-10
-15.0,-30.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-30.638693323622146,-12.625331320610945,-20.82363100350821,-15.000000000000131,-30.000000000000277,-220.00000000000225,2.2661663082258004e-12,4,1.2223608791828156e-09
0.0,-30.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-30.903480170672633,-16.987754905381735,-16.987754905381735,3.802583358225341e-15,-30.000000000000412,-220.00000000000244,2.4787687020425307e-12,4,1.3387762010097504e-09
15.0,-30.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-30.638693323622146,-20.82363100350821,-12.625331320610945,15.000000000000131,-30.000000000000277,-220.00000000000225,2.2661663082258004e-12,4,1.2223608791828156e-09
30.0,-30.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-29.84814243471186,-24.084038198665397,-7.80105323431334,30.00000000000031,-30.00000000000017,-220.0000000000017,1.7414567524009003e-12,4,9.313225746154785e-10
-30.0,-15.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-26.106365496696824,-10.894435443625136,-27.170625541196344,-30.00000000000029,-15.000000000000146,-220.0000000000022,2.2125763428543726e-12,4,1.1932570487260818e-09
-15.0,-15.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-26.89898667212966,-15.762249954163176,-23.955336455708494,-15.000000000000151,-15.000000000000282,-220.0000000000029,2.916651354010268e-12,4,1.57160684466362e-09
0.0,-15.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-27.164479234189837,-20.137270863214923,-20.137270863214923,-3.9587282784308845e-15,-15.000000000000194,-220.00000000000318,3.189117119355119e-12,4,1.6880221664905548e-09
15.0,-15.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-26.89898667212966,-23.955336455708494,-15.762249954163176,15.000000000000151,-15.000000000000282,-220.0000000000029,2.916651354010268e-12,4,1.57160684466362e-09
30.0,-15.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-26.106365496696824,-27.170625541196344,-10.894435443625136,30.00000000000029,-15.000000000000146,-220.0000000000022,2.2125763428543726e-12,4,1.1932570487260818e-09
-30.0,0.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-21.714344382808104,-13.513146252473607,-29.703419472961915,-30.000000000000423,-1.2156650740311609e-14,-220.00000000000244,2.4805898398875885e-12,4,1.3242242857813835e-09
-15.0,0.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-22.500654386780724,-18.399104104649144,-26.54589530112006,-15.000000000000195,-5.4821286941432457e-14,-220.0000000000032,3.2180587778429594e-12,4,1.7462298274040222e-09
0.0,0.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-22.763995880240145,-22.763995880240145,-22.763995880240145,-7.105427357601002e-15,1.3552527156068805e-20,-220.00000000000344,3.4390341813885696e-12,4,1.8335413187742233e-09
15.0,0.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-22.500654386780724,-26.54589530112006,-18.399104104649144,15.000000000000195,-5.4821286941432457e-14,-220.0000000000032,3.2180587778429594e-12,4,1.7462298274040222e-09
30.0,0.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-21.714344382808104,-29.703419472961915,-13.513146252473607,30.000000000000423,-1.2156650740311609e-14,-220.00000000000244,2.4805898398875885e-12,4,1.3242242857813835e-09
-30.0,15.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-16.730867635957576,-15.630636249947738,-31.66815500075866,-30.00000000000036,15.000000000000187,-220.0000000000022,2.2255227578821806e-12,4,1.2078089639544487e-09
-15.0,15.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-17.503206925676025,-20.510651284453928,-28.576377508231538,-15.000000000000169,15.000000000000151,-220.00000000000293,2.936180837512028e-12,4,1.6007106751203537e-09
0.0,15.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-17.76178954091519,-24.845248530497223,-24.845248530497223,-6.883409857730283e-15,15.000000000000165,-220.00000000000315,3.1591396536959007e-12,4,1.7025740817189217e-09
15.0,15.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-17.503206925676025,-28.576377508231538,-20.510651284453928,15.000000000000169,15.000000000000151,-220.00000000000293,2.936180837512028e-12,4,1.6007106751203537e-09
30.0,15.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-16.730867635957576,-31.66815500075866,-15.630636249947738,30.00000000000036,15.000000000000187,-220.0000000000022,2.2255227578821806e-12,4,1.2078089639544487e-09
-30.0,30.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-11.23902958783104,-17.22919699825203,-33.063063046455234,-30.00000000000019,30.000000000000266,-220.00000000000173,1.7641575634283311e-12,4,9.458744898438454e-10
-15.0,30.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-11.991222248468898,-22.082009568295984,-30.040199766644715,-15.000000000000167,30.00000000000029,-220.00000000000227,2.2983970805580684e-12,4,1.2078089639544487e-09
0.0,30.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-12.24294895446058,-26.36994007732596,-26.36994007732596,7.160952061359416e-15,30.00000000000039,-220.00000000000244,2.4753213875414576e-12,4,1.3387762010097504e-09
15.0,30.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-11.991222248468898,-30.040199766644715,-22.082009568295984,15.000000000000167,30.00000000000029,-220.00000000000227,2.2983970805580684e-12,4,1.2078089639544487e-09
30.0,30.0,-220.0,-45.0,90.0,ok,ok,,ok,ok,ok,-11.23902958783104,-33.063063046455234,-17.22919699825203,30.00000000000019,30.000000000000266,-220.00000000000173,1.7641575634283311e-12,4,9.458744898438454e-10
-30.0,-30.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-44.95484488142656,-19.35630255375745,-38.460708191901674,-30.000000000004725,-30.00000000000489,-200.00000000003013,3.0884644624624514e-11,4,1.6909325495362282e-08
-15.0,-30.0,-200.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,ok,ok,,,,,,,,,
0.0,-30.0,-200.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,ok,ok,,,,,,,,,
15.0,-30.0,-200.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,ok,ok,,,,,,,,,
30.0,-30.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-44.95484488142656,-38.460708191901674,-19.35630255375745,30.000000000004725,-30.00000000000489,-200.00000000003013,3.0884644624624514e-11,4,1.6909325495362282e-08
-30.0,-15.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-40.90144452670701,-23.08722814659831,-42.110221220405144,-30.00000000000592,-15.000000000002942,-200.00000000003723,3.781455101905243e-11,4,2.0780134946107864e-08
-15.0,-15.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-41.95074374633358,-28.94527653486239,-38.56667670924626,-15.0000000000037,-15.000000000003638,-200.00000000004584,4.6136951246240494e-11,4,2.5393092073500156e-08
0.0,-15.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-42.304504221599394,-34.1488495615214,-34.1488495615214,2.722118513926044e-14,-15.000000000003986,-200.00000000004908,4.9245891507542854e-11,4,2.713932190090418e-08
15.0,-15.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-41.95074374633358,-38.56667670924626,-28.94527653486239,15.0000000000037,-15.000000000003638,-200.00000000004584,4.6136951246240494e-11,4,2.5393092073500156e-08
30.0,-15.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-40.90144452670701,-42.110221220405144,-23.08722814659831,30.00000000000592,-15.000000000002942,-200.00000000003723,3.781455101905243e-11,4,2.0780134946107864e-08
-30.0,0.0,-200.0,-45.0,90.0,fail,ik_reject,arm3:angle_out_of_range,ok,ok,angle_out_of_range,,,,,,,,,
-15.0,0.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-36.91783837255299,-32.09891312101821,-41.596876806546994,-15.000000000003894,-2.7528381050384576e-14,-200.00000000004906,4.9210168293899815e-11,4,2.7124769985675812e-08
0.0,0.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-37.26583141102841,-37.26583141102841,-37.26583141102841,6.8833827526759706e-15,-3.6637359812630166e-15,-200.00000000005247,5.246647618798076e-11,4,2.89292074739933e-08
15.0,0.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-36.91783837255299,-41.596876806546994,-32.09891312101821,15.000000000003894,-2.7528381050384576e-14,-200.00000000004906,4.9210168293899815e-11,4,2.7124769985675812e-08
30.0,0.0,-200.0,-45.0,90.0,fail,ik_reject,arm2:angle_out_of_range,ok,angle_out_of_range,ok,,,,,,,,,
-30.0,15.0,-200.0,-45.0,90.0,fail,ik_reject,arm3:angle_out_of_range,ok,ok,angle_out_of_range,,,,,,,,,
-15.0,15.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-31.00909054738859,-34.55216565111195,-43.85638110688432,-15.0000000000037,15.000000000003702,-200.00000000004584,4.614203776219106e-11,4,2.5407643988728523e-08
0.0,15.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-31.34479767825117,-39.64012777128206,-39.64012777128206,-2.2426505097428162e-14,15.000000000003896,-200.00000000004908,4.9238638856666756e-11,4,2.7124769985675812e-08
