x_mm,y_mm,z_mm,status,reason,theta1_deg,theta2_deg,theta3_deg,fk_x_mm,fk_y_mm,fk_z_mm,roundtrip_error_mm,fk_iterations,fk_max_residual_mm2
-30.0,-30.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,-30.0,-265.0,fail,ik_reject,,,,,,,,,
-20.0,-30.0,-265.0,fail,ik_reject,,,,,,,,,
-15.0,-30.0,-265.0,fail,ik_reject,,,,,,,,,
-10.0,-30.0,-265.0,fail,ik_reject,,,,,,,,,
-5.0,-30.0,-265.0,fail,ik_reject,,,,,,,,,
0.0,-30.0,-265.0,ok,ok,9.745830105783488,0.31614744674830103,0.31614744674830103,-5.652986665791756e-15,-29.999999999999975,-264.9999999999997,2.85359036833545e-13,5,1.4551915228366852e-11
5.0,-30.0,-265.0,fail,ik_reject,,,,,,,,,
10.0,-30.0,-265.0,fail,ik_reject,,,,,,,,,
15.0,-30.0,-265.0,fail,ik_reject,,,,,,,,,
20.0,-30.0,-265.0,fail,ik_reject,,,,,,,,,
25.0,-30.0,-265.0,fail,ik_reject,,,,,,,,,
30.0,-30.0,-265.0,fail,ik_reject,,,,,,,,,
-30.0,-25.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,-25.0,-265.0,fail,ik_reject,,,,,,,,,
-20.0,-25.0,-265.0,fail,ik_reject,,,,,,,,,
-15.0,-25.0,-265.0,fail,ik_reject,,,,,,,,,
-10.0,-25.0,-265.0,fail,ik_reject,,,,,,,,,
-5.0,-25.0,-265.0,ok,ok,8.926869864429689,0.1465299233163022,1.9731685365730145,-4.999999999999639,-24.99999999999962,-265.0000000000001,5.361567581464936e-13,5,1.4551915228366852e-11
0.0,-25.0,-265.0,ok,ok,8.948397328747237,1.081372202199797,1.081372202199797,2.0990917260331608e-14,-24.999999999999808,-265.00000000000017,2.5753889300742324e-13,5,1.4551915228366852e-11
5.0,-25.0,-265.0,ok,ok,8.926869864429689,1.9731685365730145,0.1465299233163022,4.999999999999639,-24.99999999999962,-265.0000000000001,5.361567581464936e-13,5,1.4551915228366852e-11
10.0,-25.0,-265.0,fail,ik_reject,,,,,,,,,
15.0,-25.0,-265.0,fail,ik_reject,,,,,,,,,
20.0,-25.0,-265.0,fail,ik_reject,,,,,,,,,
25.0,-25.0,-265.0,fail,ik_reject,,,,,,,,,
30.0,-25.0,-265.0,fail,ik_reject,,,,,,,,,
-30.0,-20.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,-20.0,-265.0,fail,ik_reject,,,,,,,,,
-20.0,-20.0,-265.0,fail,ik_reject,,,,,,,,,
-15.0,-20.0,-265.0,fail,ik_reject,,,,,,,,,
-10.0,-20.0,-265.0,fail,ik_reject,,,,,,,,,
-5.0,-20.0,-265.0,ok,ok,8.082142190950844,0.8684297602391048,2.695332577862923,-5.00000000000012,-20.000000000001315,-265.00000000002416,2.4194485942782648e-11,4,1.3154931366443634e-08
0.0,-20.0,-265.0,ok,ok,8.103713054563102,1.8035793498394719,1.8035793498394719,2.7380279033623056e-14,-20.000000000002544,-265.00000000000796,8.354782687054336e-12,4,4.48198989033699e-09
5.0,-20.0,-265.0,ok,ok,8.082142190950844,2.695332577862923,0.8684297602391048,5.00000000000012,-20.000000000001315,-265.00000000002416,2.4194485942782648e-11,4,1.3154931366443634e-08
10.0,-20.0,-265.0,fail,ik_reject,,,,,,,,,
15.0,-20.0,-265.0,fail,ik_reject,,,,,,,,,
20.0,-20.0,-265.0,fail,ik_reject,,,,,,,,,
25.0,-20.0,-265.0,fail,ik_reject,,,,,,,,,
30.0,-20.0,-265.0,fail,ik_reject,,,,,,,,,
-30.0,-15.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,-15.0,-265.0,fail,ik_reject,,,,,,,,,
-20.0,-15.0,-265.0,fail,ik_reject,,,,,,,,,
-15.0,-15.0,-265.0,fail,ik_reject,,,,,,,,,
-10.0,-15.0,-265.0,ok,ok,7.125581659749151,0.5689535699730707,4.221332834344125,-9.999999999999204,-14.999999999998801,-265.0000000000008,1.644481472299739e-12,4,5.820766091346741e-11
-5.0,-15.0,-265.0,ok,ok,7.190397535361278,1.5473486652964386,3.3740523886974447,-5.00000000000071,-15.000000000001213,-264.99999999999966,1.4463442203213062e-12,4,2.9103830456733704e-11
0.0,-15.0,-265.0,ok,ok,7.212003756229178,2.482565619917182,2.482565619917182,-1.3987812839427304e-20,-14.999999999996517,-265.0000000000028,4.4600867845119405e-12,3,1.0186340659856796e-09
5.0,-15.0,-265.0,ok,ok,7.190397535361278,3.3740523886974447,1.5473486652964386,5.00000000000071,-15.000000000001213,-264.99999999999966,1.4463442203213062e-12,4,2.9103830456733704e-11
10.0,-15.0,-265.0,ok,ok,7.125581659749151,4.221332834344125,0.5689535699730707,9.999999999999204,-14.999999999998801,-265.0000000000008,1.644481472299739e-12,4,5.820766091346741e-11
15.0,-15.0,-265.0,fail,ik_reject,,,,,,,,,
20.0,-15.0,-265.0,fail,ik_reject,,,,,,,,,
25.0,-15.0,-265.0,fail,ik_reject,,,,,,,,,
30.0,-15.0,-265.0,fail,ik_reject,,,,,,,,,
-30.0,-10.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,-10.0,-265.0,fail,ik_reject,,,,,,,,,
-20.0,-10.0,-265.0,fail,ik_reject,,,,,,,,,
-15.0,-10.0,-265.0,ok,ok,6.078918526927124,0.1830248093617209,5.657324997895616,-15.00000000000175,-10.000000000001963,-264.99999999999886,2.864757501321233e-12,4,5.820766091346741e-11
-10.0,-10.0,-265.0,ok,ok,6.187070462788998,1.2045112651959096,4.855687340771136,-9.999999999999652,-9.999999999999616,-264.99999999999994,5.212207536002696e-13,4,0.0
-5.0,-10.0,-265.0,ok,ok,6.251967338383542,2.1830900955327164,4.009171490170302,-5.000000000000679,-9.99999999999652,-265.00000000000085,3.646512744475669e-12,4,5.820766091346741e-11
0.0,-10.0,-265.0,ok,ok,6.273600601288552,3.118154141557746,3.118154141557746,-3.6116103317935e-15,-10.00000000000122,-265.00000000000006,1.2216856339918207e-12,4,1.8917489796876907e-10
5.0,-10.0,-265.0,ok,ok,6.251967338383542,4.009171490170302,2.1830900955327164,5.000000000000679,-9.99999999999652,-265.00000000000085,3.646512744475669e-12,4,5.820766091346741e-11
